2009IS,問題文,選択肢,,,,
1,次のうち正しいのはどれか。解答記入欄( 1 )に2つマークしなさい。,医事会計システムは1960年代後半から運用されている。,オーダ工ントリシステムは1990年代になって開発された。,ペーパレスの電子診療録は現在でも法的には認められていない。,病院情報システムの中で看護部門のシステム化は最も早かった。,レセプト電算システムの普及は政府のe-Japan戦略の目標に掲げられている。
2,法的保管義務の期間がもっとも長いのはどれか。解答記入欄( 2 )にマークしなさい。,診療録,歯科技工指示書,診療報酬請求書,エックス線照射録,特定生物由来製品台帳
3,以下の組み合わせで誤っているのはどれか。解答記入欄( 3 )にマークしなさい。,RIS ― 臨床検査,PACS ― 画像検査,DPC ― 包括支払制度,GCP ― 新薬の臨床試験,EBM ― 科学的根拠に基づく医療
4,医療情報を利用する場合、患者の同意を必要とするのはどれか。解答記入欄( 4 )にマークしなさい。,地域がん登録,保険請求の根拠,病院の職員教育,病院の経営管理指標,人間ドックのダイレクトメール送付
5,統計的観点からみた医療情報の特性で誤っているのはどれか。解答記入欄( 5 )にマークしなさい。,欠損値を生じることが多い。,表面に出ない交絡因子が多い。,測定誤差の管理水準が一定しない。,数値データでは、極端に飛び離れた値がない。,相関があるからといって因果関係があるとは限らない。
6,個人情報保護に関して、医療関係者がとるべき行動として適切なのはどれか。解答記入欄( 6 )に2つマークしなさい。,患者が意識不明であったので、患者の病状を家族に説明した。,児童虐待の恐れのある児の身体状態について、児童相談所に報告した。,学校の教師から問い合わせがあったので、入院患者の学童の病状について報告した。,保険会社から退院患者の治療について間い合わせがあり、カルテに記載された内容を報告した。,産業医から従業員の定期健診結果の問い合わせがあったが、当該従業員の同意を得ていないので、報告することを断った。
7,パスワードの機密性を守るための内容について誤っているのはどれか。解答記入欄( 7 )にマークしなさい。,パスワードは3週間おきに変更する。,パスワードは管理者のみが閲覧できる。,簡単に推測できるパスワードは使わない。,パスワード入力の際、他人に分からないように入力する。,他人のパスワードを知ってしまった場合、本人に知らせる。
8,明示的に患者の同意をとる必要があるのはどれか。解答記入欄( 8 )にマークしなさい。,治療成績の統計,院内の症例検討,薬袋への氏名の印刷,診察券への氏名の印刷,住民健診データの問い合わせ
9,削除,,,,,
10,診療録の外部保存について現時点で認められていないのはどれか。解答記入欄( 10 )にマークしなさい。,患者の了解のもとに診療録のコピーを外部の医療機関に保存する。,電子カルテのサーバを医療連携している別の医療機関に設置する。,患者の了解のもとに診療録のコピーを外部の民間事業者に保存する。,行政機関等が開設したデータセンターに電子カルテデータを保存する。,厚生労働省が認可した民間のデータセンターに電子カルテデータを保存する。
11,診療情報の一次利用にあたらないのはどれか。解答記入欄( 11 )にマークしなさい。,患者ケアの計画,処方禁忌の警告,平均在院日数の算出,患者が受けた医療行為の記録,医療機関が提供したサービスの記録
12,「医療情報システムの安全管理に関するガイドライン*」について、誤っているのはどれか。解答記入欄( 12 )にマークしなさい。,個人情報の取扱いについての指針が含まれている。,医療機関等における診療録の電子保存を行うときのガイドラインである。,e-文書法に基づいたスキャナ等により電子化した保存の指針が含まれている。,保存義務のある診療録等を医療機関の外部に保存する場合の指針が含まれている。,制度上の要求事項、考え方、最低限のガイドライン、推奨されるガイドラインの項目で構成されている。
13,歯科のレセプトに関して誤っているのはどれか。解答記入欄( 13 )に2つマークしなさい。,処置と病名の結びつきが強い。,病名に部位の表記が必須である。,部位が異なれば病名は重複してもよい。,医科と歯科は同一書式のレセプトを使う。,歯科のレセプト内容は医科のレセプトにある歯科記載欄を使つ。
