2011JS,問題文,選択肢,,,,,
1,情報の単位の接頭語が大きい順に並んでいるのはどれか。番号を解答記入欄( 1 )にマークしなさい。,G > T > M > k,k > M > G > T,M > G > T > k,T > G > k > M,T > G > M > k,
2,2進数の1101と1100の論理積の結果はどれか。番号を解答記入欄( 2 )にマークしなさい。,0001,0010,0110,1100,1101,
3,2進数の11100011を16進数で表したのはどれか。番号を解答記入欄( 3 )にマークしなさい。,3E,73,74,D3,E3,
4,入力装置が扱う情報の組み合わせで誤ュているのはどれか。番号を解答記入欄( 4 )にマークしなさい。,マウス ― 位置,キーボード ― 文字,マイクロホン ― 動画像,スキャナ ― 静止画像,バーコードリーダ ― コード,
5,RAIDについて正しいのはどれか。番号を解答記入欄( 5 )にマークしなさい。,RAID1はストライピングとも呼ばれる。,RAID1はパリテイをミラーリングする。,RAID5はディスク2台から構成できる。,RAID0は1台のデイスクが故障しても修復できる。,RAID5はパリティを複数ディスクにストライピングする。,
6,コンピュータの構成要素について正しいのはどれか。番号を解答記入欄( 6 )にマークしなさい。,スキャナには、文字判別機能がある。,ディスプレイのサイズは、解像度と比例している。,メインメモリには、実行中のプログラムが保存される。,デュアルコアCPUは、処理の二重化により信頼性を高めている。,パーソナルコンピュータ用の主なCPUでは、制御装置と演算装置とを独立に取り換えられる。,
7,補助記憶装置について誤っているのはどれか。番号を解答記入欄( 7 )にマークしなさい。,BD-R : レーザ光を使って記憶を行う。,HDD : ディスク表面の磁性体に情報を記録する。,SDメモリカード : 赤外線を使って情報を記録する。,USBメモリ : ROM型の半導体メモリが使われている。,DVD-ROM : ディスクに刻んだ凸凹で情報を表現する。,
8,メモリに関する説明文のうち誤っているのはどれか。番号を解答記入欄( 8 )にマークしなさい。,SRAM : リフレッシュの必要がない。,USBメモリ : 書き換え回数に制限がある。,DRAM : 定期的な再書き込みが必要である。,マスクROM : 製造時の内容が変更できない。,フラッシュメモリ : 利用者は内容を変更できない。,
9,複数のプログラムを短時間ずつ順次実行して、同時に処理しているように見せかける処理方式はどれか。番号を解答記入欄( 9 )にマークしなさい。,バッチ処理,オンライン処理,リアルタイム処理,トランザクション処理,タイムシェアリング処理,
10,プログラミング言語について誤っているのはどれか。番号を解答記入欄( 10 )にマークしなさい。,JavaScriptはスクリプト言語である。,Javaはオブジェクト指向言語である。,BASICはインタープリタ方式の言語である。,FORTRANは科学技術向けの高級言語である。,XMLは手続き型のプログラミング言語である。,
11,アナログ情報とデジタル情報との間の変換について誤っているのはどれか。番号を解答記入欄( 11 )にマークしなさい。,量子化は標本化の次に行われる。,連続量を離散化することを量子化という。,D/A変換により、もとの波形を完全に復元できる。,波形情報を一定時間ごとに拾い上げることを標本化という。,A/D変換とはアナログ情報をデジタル情報に変換することをいう。,
12,データ圧縮について正しいのはどれか。番号を解答記入欄( 12 )にマークしなさい。,圧縮後の再圧縮により元データを復元できる。,非可逆圧縮は可逆圧縮より圧縮率を高くできる。,画像データは可逆圧縮により解像度が高くなる。,テキストデータの圧縮には非可逆圧縮が用いられる。,プログラムファイルを圧縮すると高速な動作になる。,
13,無線LANについて誤っているのはどれか。番号を解答記入欄( 13 )にマークしなさい。,複数端末間の直接的な無線通信をアドホックモードという。,周辺のアクセスポイントの数に比例して通信速度は速くなる。,電波強度が十分であれば、違うフロアのアクセスポイントも利用できる。,IEEE802.11g規格で混信なしに同時に使用できるチャンネル数は3つである。,セッションを切らずに異なるアクセスポイントとの通信に移ることをローミングという。,
14,無線LANのアクセスポイントを識別するための情報はどれか。番号を解答記入欄( 14 )にマークしなさい。,ホスト名,ESS - ID,WPAキー,MACアドレス,デフォルトゲートウェイ,
15,DHCPで割り当て可能な情報はどれか。番号を解答記入欄( 15 )にマークしなさい。,ウイルス,ユーザID,MACアドレス,メールアドレス,DNSサーバアドレス,
16,OSI参照モデルの物理層について正しいのはどれか。番号を解答記入欄( 16 )にマークしなさい。,プロトコルの確認,データ衝突の回避,データの宛て先の判断,データの符号化と復号,媒体上でのビット列の伝送,
17,伝送速度1Gbpsのネットワークシステムで、1枚8メガビットの画像を送信する場合、伝送効率を100%として1秒間に送信完了できる画像数はどれか。番号を解答記入欄( 17 )にマークしなさい。,8,15,100,125,250,
18,IPv6について誤っているのはどれか。番号を解答記入欄( 18 )にマークしなさい。,アドレス空間は256ビットで表現される。,基本的なルーティングの考え方はIPv4と同様である。,ネットワークプレフイックスとインターフェイス識別子で構成される。,リンクローカルアドレスは同一リンク内の重複がないことを保証する。,,ユーザ認証やパケット暗号化などのセキュリティ機能をサポートしている。
19,サブネットマスクが24ビットの場合、IPアドレスを192.168.13.10と設定した端末と同一のサブネットに接続される端末のIPアドレスとして適切なのはどれか。番号を解答記入欄( 19 )にマークしなさい。,192.168.12.10,192.168.13.10,192.168.13.24,192.168.14.10,192.168.14.24,
20,複数のLANをネットワーク層で相互に接続するのに使用する装置はどれか。番号を解答記入欄( 20 )にマークしなさい。,ハブ,ルータ,ブリッジ,リピータ,ゲートウェイ,
21,イーサネットの伝送媒体について正しいのはどれか。番号を解答記入欄( 21 )にマークしなさい。,10BASE - Tの伝送速度は10Tbpsである。,100BASE - TXの伝送速度は100Gbpsである。,1000BASE - Tの最大伝送距離は100mである。,"""1000BASE - LXの伝送速度は1,000kbpsである。""","""1000BASE - SXの最大伝送距離は1,000kmである。""",
22,pingで使われるプロトコルはどれか。番号を解答記入欄( 22 )にマークしなさい。,ICMP,OSPF,PPTP,RARP,SNMP,
23,電子メールの受信に使用するプロトコルはどれか。番号を解答記入欄( 23 )にマークしなさい。,FTP,POP,SSH,WEP,WPA,
24,関係データベースで、表から特定の行を抽出する演算はどれか。番号を解答記入欄( 24 )にマークしなさい。,和,差,選択,射影,結合,
25,データベース管理システム(DBMS)の基本的な役割でないのはどれか。番号を解答記入欄( 25 )にマークしなさい。,データの更新,アプリケーションとの仲介,データベースのウイルス駆除,データへのアクセス権限の管理,データに対する問い合わせの対応,
26,関係データベースの正規化の説明で誤っているのはどれか。番号を解答記入欄( 26 )にマークしなさい。,冗長性を少なくする。,データの容量を小さくする。,関連性の強い項目を多くする。,属性間の依存関係を小さくする。,1つの事実は1か所に対応させる。,
27,表「薬品マスタ」から、ジェネリックの薬品コードと薬品名を抽出し、薬価順に出力するSQL文を完成させるために、次の(　)内に入るべき用語を語群のなかから選び、番号を解答記入欄( 27 )～( 28 )にマークしなさい。,"""( 27 )2,( 28 )3""","""( 27 )5,( 28 )8""","""( 27 )7,( 28 )1""","""( 27 )5,( 28 )3""","""( 27 )6,( 28 )4""",
