2012JS,解答,解説
1,4,2進数は0と1の2種類だけの数字を使用して数値を表現する方法で、2増えるごとに桁が1つ上がる。すなわち、0+0は0、1+0は1、1+1は桁が1つ上がり10となる。この繰り上がりに注意して、「01111」と「00101」を加算すると、
2,4,10進数を2進数で表すには、商が0になるまで10進数を2で繰り返し割っていく。その際、余りを下記のように書き出し、その余りを下から順に並べれば、2進数が得られる。10進数の「31」を2で繰り返し割っていくと、となる。余りを下から順に並べ、2進数「11111」が得られる。
3,1,1)ASCIIは7ビットの文字コード体系で、128種類のアルファベット、数字、記号、制御コードで構成されている。2)EBCDICは8ビットの文字コード体系で、汎用大型コンピュータなどで利用されている。3)EUCは複数バイトの文字を扱う文字コード体系で、日本語だけでなく複数バイト言語の各国の文字コードが規定されている。4)ShiftJISは日本語文字コードの一つで、文字の1バイト目を見るだけで漢字か半角英数字(ASCII)かを区別でき、等幅フォント(固定幅フォント)で表示した場合に画面上の桁数とバイト数が一致するなどの特長がある。5)UTF-8は世界中の文字をひとつの文字集合で表現する規格であるUnicodeを元に、1文字を1バイトから6バイトの可変長で表現したもので、日本語や中国語などの漢字を同一に扱うことができる。
4,2,アクセス時間やデータの処理速度などを表現する時間の単位の接頭辞で、m(ミリ:10^3)、μ(マイクロ:10^6)、n(ナノ:l0^9)、p(ピコ:10^12)の順で単位が小さくなる。CPU内のレジスタは処理速度が数百ps(ピコ秒)で、メモリのアクセス速度はキヤッシュメモリでns(ナノ秒)、主記憶装置で数十ns(ナノ秒)、磁気ディスク装置で数十ms(ミリ秒)単位となっている。
5,4,メモリの種類は、電源が切れるとデータ内容が失われるRAM(Random AccessMemory)と電源を切ってもデータ内容が残るROM(Read Only Memory)の2つに大別される。RAMはSRAM(Static RAM)とDRAM(Dynamic RAM)の2種 類に分類される。SRAMでは電源が供給されている間は記憶内容が保持されるが、DRAMでは電源が供給されている間も内容を保持しておくために一定時間間隔ごとに再書き込み(リフレッシュ)を行う必要がある。マスクROMは、製造過程で情報を書き込み、その後は書き換えや消去ができない。EPROM(Erasable Programmable ROM)、 EEPROM(Electrically EPROM)はデータの書き込み、消去が可能で、EPROMは紫外線で、EEPROMは電圧をかけてデータを消去する。
6,4,4)タッチパッドは、ノートパソコンで使われる平らなパッドで、指でこする方向とこすった距離を検出して、その情報をパソコンに取り込む入力装置である。1)OCR(Optical Character Reader)は、手書き文字や印字された文字を光学的に読み取り、文字データを入力する装置である。2)OMR(Optical Mark Reader)は、マークシート用紙やマークカードのマークを光学的に読み取る入力装置である。3)キーボードは、手指でキーを押すことによってコンピュータに情報を伝える入力装置である。5)イメージスキャナは、紙から図形や写真を光学的に読み取り、画像データとしてコンピュータに転送する装置である。
7,1,1)IDEは、コンピュータとハードデイスクなどを接続するためのパラレルインターフェイスである。2)IEEE1394は、コンピュータと周辺機器、デジタル機器を接続するためのシリアルインターフェイスである。3)RS-232Cは、コンピュータと周辺機器を接続するためのシリアルインターフェイスである。4)SATA(シリアフレATA)は、コンピュータとハードディスク、SSDなどを接続するためのシリアルインターフェイスである。5)USB(UniverSal Serial BuS)は、コンピュータと周辺機器を接続するためのシリアルインターフェイスである。
8,4,RAID5は3台以上のハードデイスクで構成される。それぞれのデイスクに、データとパリテイを交互に書き込んでいく。1台のデイスクに障害が起きても、残されたディスクに保存されたデータとパリテイ情報から壊れたデータを復旧させることが可能である。データとパリテイは別々のデイスクに分散して書き込まれる。したがって、同じ内容のデータが複数のデイスクに書き込まれることはなく、パリテイが特定のデイスクだけに書かれることもない。なお、パリテイが1台分のデイスク容量を占めるため、使用可能容量は構成台数から1台分を引いたものとなる
9,2,オペレーティングシステムの機能としては、①メモリ管理、②タスク管理、③周辺機器の制御、④ネットワークのサポート、⑤ファイルシステムの管理、⑥ユーザの管理、⑦ユーザインターフェイスの提供、③日本語環境のサポート、⑨電源の管理、などがあげられる。メールの管理は、アプリケーションソフトのメーラー (メールソフト)が担う。
10,4,4)Javaはオブジエクト指向プログラミングの考え方に基づいて設計された言語であり、完全なオブジェクト指向性を備えている。1)Rubyはオブジエクト指向スクリプト言語である。2)COBOLは手続き型言語、事務処理計算用言語である。3)PHPはスクリプト言語である。ウェブアプリケーションの開発に適している。5)LISPは代表的な関数型言語である
11,2,2)バッチ処理は一定時間、または一定量蓄えられたデータをまとめて処理する方式である。1)サーバと端末で処理を分割する方式を垂直分散システムと呼ぶ。3)複数のコンピュータで処理を分散する方式を分散処理システムと呼ぶ。4)複数のプログラムを短時間ずつ処理する方式をタイムシェアリングシステムと呼ぶ。5)複数端末からの要求を随時処理し、結果を即座に端末に返す方式をオンライントランザクション処理と呼ぶ。
12,3,3)A/D変換は、標本化、量子化、符号化の順で処理される。標本化(サンプリング)は時間軸方向の離散化であり、量子化は振幅方向の離散化である。1)デジタル化しても雑音成分は除去れることはない。2)量子化は振幅方向の離散化である。4)標本化間隔の逆数をサンプリング周波数と言うが、標本化定理(サンプリング定理)によれば変換できる音の上限周波数はサンプリング周波数に比例するので、標本化間隔が細かい(狭い)ほど高い周波数を変換できる。5)量子化ビット数が大きくなると量子化誤差は小さくなり、精度はあがる。
13,3,3)MP3(MPEG Audio Layer-3)は、音声データの圧縮技術を使って作られた音声ファイル形式で、動画像のファイル形式ではない。1)AVIは、Microsoft Windowsの標準的な動画ファイル形式である。2)FLVは、Adobe社のFlash Playerで採用されているファイル形式で、Web上の埋め込み動画 (You Tubeなど)で広く利用されている。4)WMVは、Microsoftによる動画ファイル形式である。5)MPEG-4は、携帯電話などへの映像配信を目的とした動画像圧縮方式の動画ファイル形式である。
14,3,無線LANの利用者(接続端末)は利用を許可されたESS-IDを選択して接続する。この際、主に家庭などにおいてはWEPやWPAによる暗号化通信を行う際に共通的に設定されたキー(文字列)を使って接続するため、ESS-IDに認証機能が含まれているかのように誤解しがちである。しかし、ESS-IDは単なる識別子であり、認証機能は含まれていない。したがって、ESS-IDが設定された無線ネットワークに上記の暗号化機能が設定されていない場合は、そのESS-IDを選択するだけで利用することができる。
15,5,通信プロトコルとは、ネツトワーク通信を行う際の通信手順や規約のことであり、通信を行う際の相互のデータ交換の手順や交換されるデータの構造などが取り決められている。したがって、通信障害時の対策やテスト方法、システム設計書などを表すものではない。また、通信時のデータ構造は定義されているが、付加する情報そのものは含まれない。
16,5,WAN(Wide Area Network)は、企業や大学といった単位で構成されたネットワーク(LAN)を接続するための、広域に展開されたネットワークを指す。一般的には、LANと対比した呼称として用いられることが多く、個々のLANとそれらを接続するWANから構成されるインターネットとは区別されている。
17,2,TCP/1Pはインターネットを含む一般的な通信ネットワークで標準的に使われているプロトコルで、トランスポート層とインターネット層に関する手順を規定しているが、電子メールなどのアプリケーション層に関する通信手順は規定していない。
18,5,MACアドレスは、ネットヮークインタフェースに一意に付与される識別子であり、物理アドレスと呼称されることもある。8ビツトずつ、6オクテットの長さ、すなわち48ビットの長さを持つ。通常、00:07:E9:17:3C:23のように16進数を用いて表現される。
19,2,"""情報量の基本単位がMByteではバイト、Mbpsではビットとなっていることに注意し、情報量の単位を合わせた上で割り算を行えばよい。したがって、2,048KByte/(20,480Kbit/秒)=2,048K×8bit/(20,480Kbit/秒)=0.8秒となる。ここで、20Mbpsを正確な値として20,480Kbpsに読み替えている。"""
20,3,"ビット長32ビットのIPv4のIPアドレス表記では、""/""の後の数字がサブネットマスクのビット数を表す。ここでは32ビット中、最初の21ビットを1、残る11ビットを0として、8ビットずつ10進数に変換すればよい。したがって、11111111(2).11111111(2).11111000(2).00000000(2)=255.255.248.0となる。"
21,5,5)ARP(AddressResolutionProtocol)は、ネットワーク層において通信先を探索する際に用いる。IP層が用いるIPアドレスからネットワーク層が用いるMACアドレスを求めることができる。1)IPアドレスを動的に割り当てるのはDHCPの機能である。2)MACアドレスは世界で一意に決められるので設定変更はできない。3)IPアドレスからホスト名を求めるのは、nslookupコマンド(逆引き)の機能である。4)ホスト名からIPアドレスを求めるのは、nslookupコマンド(正引き)の機能である。
22,2,NAPT(Network Address Port Translation)はプライベートIPアドレスとグローバルIPアドレスを対応付けるための手法である。1対nの変換を可能にするため、IPアドレスに加えポート番号を組み合わせた変換テーブルを用いる。
23,2,"2)リターンメールのメッセージ中、Userとは相手方サーバにおけるユーザ名を指す。“user unknown""は、宛先アドレスのうち、相手先サーバ名は正しく、ユーザ名が誤っていた場合のメッセージである。1)迷惑メールと判定された場合、発信元にエラーメッセージは戻らないことが多い3)メールの保存領域が制限を超えた場合、エラーメッセージは“User Quota Overlow""になることが多い。4)転 送先で送信先にメールが転送されていた場合、エラーメッセージは“TooMany Hops""になることが多い。5)送信元アドレスが存在しなかった場合、発信元にエラーメッセージも返事も戻らないことが多い。"
24,2,2)NTPはNetwork Time Protocolの略で、ネットワークを利用してコンピュータの時計を同期するプロトコルである。1)はNeighbor Discovery Protocol、 3)はNetwork News Transfer Protocol、 4)はsimple Mail Transfer Protocol、 5)はSimple Network Management Protocolの略である。
25,5,5)関係データベースにおいては、キー制約から同じ4直を持ったタプル(行)が存在してはならない。すなわち、主キーの値が同じ行があってはならない。1)外部キーの参照先は参照キーである。2)キー制約で主キーは空値が許されない。3)参照キーは外部キーから参照されるので、空値は許されない。4)外部キーは空値であっても構わない。
26,4,問題にあるSELECT文で得られる情報は、病棟コード、薬品名および使用量の合計であるが、GROUPBYにより病棟コード、薬品コードと薬品名で等しいものをグループにまとめているので、病棟別、薬品名別の合計使用量が得られる。
27,5,表'薬品使用'で、主キーはタプル(行)を一意に特定できる必要がある。ある薬品が、ある日に、特定の病棟でどれだけ使用されるというタプルは一意に特定できるので、薬品コード、使用年月日および病棟コードを主キーとすればよい。
28,3,3)射影は、指定した属性を指定した並びで抽出する操作である。1)結合は、結合列の値が等しいタプル同士を抽出する操作である。2)差は、属性ドメインが同一の2つの表AとBがあるとき、A―Bは両者に共通のタプル(行)をAから除いたものである。4)選択は、選択条件を満たすタプルのみを抽出する操作である。5)挿入は、指定した属性に値を入れる操作である。
29,4,ERモデルは、実体間の関連を表現するもので、データの流れを示すものではない。実体間の関連度はM:Nのように数字で表し、これらを基数と呼ぶ。関連の仕方は、1対1、1対多と多対多の3つの種類がある。実体についての性質を属性と呼ぶが、たとえば「社員」という実体は「部門」という属性をもつことになる。
30,5,5)否認防止とは、ユーザのシステム利用の事実が事後になって否認されることを防止することであり、認可された個人がアクセスを要求したときに不当に拒否されることではない。情報セキュリテイの要素としては、他に可用性、責任追跡性がある。
31,3,3)RSA(Rivest-Shamir-Adleman)は、開発者 3名の頭文字をとって命名された、公開鍵暗号方式の代表的なアルゴリズムである。1)AES(Advanced Encryption Standard)は、DESの後継としてNIST(米国商務省標準局)が標準化した共通鍵暗号方式のアルゴリズムである。2)DES(Data Encryption Standard)はIBM社が開発し、1977年に米国で標準となった共通鍵暗号方式の代表的なアルゴリズムである。4)WiEP(Wired Equivalent Privacy)は、無線 LAN(IEEE802.11b)で用いられる共通鍵暗号方式の一つである。5)3DES(Triple DES)は、 DESを3重に繰り返すことで暗号強度を高めた共通鍵暗号方式のアルゴリズムである。
32,1,生体(バイオメトリクス)認証で利用される生体情報は、すべての人が持つ特徴であること、同じ特徴を持つ他人がいないこと、時間によって特徴が変化しないことなどが条件としてあげられる。虹彩、指紋、静脈、声紋はこの条件を満たしている。しかし、体格は近い特徴を持つ人がいること、時間経過によって変化することなどが考えられるので利用できない。
33,5,共通鍵暗号方式の鍵の数はn人のペアの組み合わせの数だけ鍵が必要で、その総数はn人の中から2人を選ぶ組み合わせの数nC2=n(n~1)/2である。公開鍵暗号方式の鍵の数はn人の各1人につき公開鍵と秘密鍵の2つだけが必要なのでその総数は2nである。これらの式より、n=5のときに5C2=5(5-1)/2=10と2n=2×5=10で等しく、n=6のときに6C2=6(6-1)/2=15と2n=2×6=12で共通鍵暗号方式の鍵の数の方が多くなる。
34,1,1)署名・押印は文書の記録内容についての責任の所在を明らかにするものであり、後でそれを否認することを防止するためのものである。2)漏洩は情報の流出であり、電子署名で流出自体を防止することはできない。3)電子署名で改ざんを検知することはできるが、改ざん自体を防止することはできない。4)ウイルス感染の防止にはウイルスチェックソフトなどが有効である。5)不正アクセスの防止には利用者認証が必要である。
35,7.2,完全性の確保のために、公開鍵暗号方式を利用した本人確認と改ざん識別をする場合にメッセージダイジェストが生成される。送信者はメッセージからハッシュ関数で演算処理してハッシユ値(メッセージダイジェスト)を生成し、メッセージの送信の際には生成されたハッシユ値を私有鍵で暗号化して添付する。したがって、(35)が「ハッシュ値」、(36)が「暗号化」である。
36,5,不正アクセス対策のフィルタリングはOSI参照モデルで見ると、データリンク層、ネットワーク層、トランスポート層およびアプリケーション層で行われ、それぞれイーサネットフレーム、IPパケット、TCPセグメントおよびアプリケーションデータを対象としてチェックされる。MACアドレスはイーサネットフレームに、プロトコル番号とIPアドレスはIPパケットに、ポート番号はTCPセグメントに含まれるのでフィルタリングの対象となる。各アプリケーションが用いるプロトコルはアプリケーション層でフィルタリングの対象となる。サブネットマスクはこれらに含まれない。
37,5,5)フィルタリングは、通信先・通信元のIPアドレスやポート番号、プロトコルなどにより通信を許可。制限する技術で、VPN通信を構成する技術要素ではない。1)認証技術は、接続における不正アクセスを防ぐために用いられる。2)通信の暗号化は、第三者による盗聴を防ぐために行っている。3)、4)パケットをカプセル化することによって、通常のネットワーク上に拠点または端末間の仮想的な回線を構築する手法をトンネルリングという。
38,5,プロトタイピング・モデルでは、要求分析やシステム設計といったシステム構築の早い段階でシステムの一部機能や試作プログラム(プロトタイプ)を開発し、ユーザが評価する。プロトタイプのユーザ評価が適時入るため仕様変更・追加が発生する可能性が高く、開発工程の見通しや進捗管理・資源の配分が難しい点が欠点である。
