2013II,解答,解説,,,,
1,誤っている組み合わせはどれか。番号を解答記入欄( 1 )にマークしなさい。,EBM ― 診療の画一化,アカウンタビリティ ― 説明責任,セカンドオピニオン ― 他施設の医師の意見,クリニカルインディケータ ― 臨床指標,インフォームドコンセント ― 説明と同意
2,「個人情報の保護に関する法律」のもとになったのはどれか。番号を解答記入欄( 2 )にマークしなさい。,ベルヌ条約,リスボン宣言,ジュネーブ宣言,WHOガイドライン,OECDガイドライン
3,日本の医療保険制度の特徴について誤っているのはどれか。番号を解答記入欄( 3 )にマークしなさい。,現物給付である。,任意加入である。,自己負担金がある。,社会保険方式である。,保険医療機関を自由に選択できる。
4,医療法に規定されていないのはどれか。番号を解答記入欄( 4 )にマークしなさい。,医療の安全確保,医療情報の適切な提供,医師・歯科医師の業務,病院・診療所・助産所の開設や管理,病院・診療所・助産所の整備や機能分担
5,医療保険の給付と支払の仕組みについて説明した図の空欄(a)に該当するのはどれか。番号を解答記入欄( 5 )にマークしなさい。,被保険者,医療保険者,審査・支払機関,保険医療機関等,中央社会保険医療協議会
6,DPC制度について誤っているのはどれか。番号を解答記入欄( 6 )にマークしなさい。,DPCコードは14桁である。,入院診療と外来診療が対象である。,主要診断群分類は18分類である。,主要診断群分類のことをMDCという。,特定入院期間を超えた日からは出来高算定を行う。
7,2013年4月1日現在、73歳の患者の通常の医療費自己負担割合はどれか。番号を解答記入欄( 7 )にマークしなさい。,0割,0.5割,1割,2割,3割
8,削除,,,,,
9,誤っているのはどれか。番号を解答記入欄( 9 )にマークしなさい。,助産師は女性でなければならない。,麻薬管理者は薬剤師でなければならない。,管理栄養士は栄養士でなければならない。,保健師は看護師国家試験の合格者でなければならない。,助産師は看護師国家試験の合格者でなければならない。
10,医療行為として認められないのはどれか。番号を解答記入欄( 10 )にマークしなさい。,医師が麻薬を処方する。,医師が電話で再診を行う。,医師が時間外に診療を行う。,薬剤師が処方内容を後発品に変更する。,医師が診察をせずに処方せんを発行する。
