2013II,解答,解説
1,1,1)EBMは、Evidence Based Medicineの略で、「科学的根拠(エビデンス)に基づく医療」と訳される。すなわち、実地医療で患者個々の病態・環境などを勘案し、科学的な根拠に基づき、その患者にとって最適な医療を提供するための意思決定をすることである。EBMプロセスは、まず日常診療での疑間点を明らかにし、次いでそれに関する情報を収集・吟味し、個々の患者への妥当性を正しく評価した上で、意思決定をする過程が想定される。したがって、医療を画一化するものではなく、あくまでも個別性を最大限に尊重するものである。2)～5)は、いずれも各用語の説明あるいは意味として正しい。
2,5,5)「個人情報の保護に関する法律」は、OECD(経済協力開発機構)が1980年に発表した理事会勧告をもとに策定された。1)ベルヌ条約は、著作権に関する国際条約である。2)リスボン宣言は、「患者の権利」についての国際宣言である。3)ジュネーブ宣言は、医の倫理に関する世界医師会の宣言である。4)WHOでは数々のガイドラインを作成しているが、個人情報の保護に関するガイドラインは定めていない。
3,2,"2)日本の公的医療保険制度の特徴のひとつは、1961年(昭和36年)に制定された強制加入による国民皆保険制度である。1)の“現物""とは、健康保険で給付が規定された医療サービスそのもののことである。私的保険会社が給付するのは現金である。3)～5)は、いずれもわが国の保険医療制度の特徴である。"
4,3,3)医師・歯科医師の業務は、身分法である「医師法」、「歯科医師法」に規定されている。医療法は、わが国の医療のあり方や医療提供施設について規定している。さらに、医療を受ける者に対する情報の提供や医療の安全について規定している。すなわち1)、2)、4)、5)は医療法に規定されている。
5,1,1)被保険者(a)は、2)医療保険者(b)に保険料を支払い、この保険料は事業主が支払った保険料とともに医療保険者(b)にプールされる。一方、被保険者(a)は、患者として4)保険医療機関等(d)において保険医による療養の給付を受け、一部負担金を支払う。保険医療機関等(d)は、診療報酬を社会保険支払基金や国保連合会などの3)審査・支払機関(c)に請求し、支払いを受ける。審査・支払機関(c)は、医療保険者(b)に審査済請求書を送付し、支払いを受ける。5)中央社会保険医療協議会は、診療報酬の改定などについて審議を行う厚生労働大臣の諮問機関である。
6,2,DPCは、入院診療での診断名および医療行為の内容から1日当たりの点数を決定する包括支払い方式である。DPCコードは、主要診断群分類(MDC、18分類)[2桁]+分類コード[4桁]+入院種別[1桁]十年齢・体重・JCS条件[1桁]+手術等[2桁]+手術・処置等1[1桁]+手術・処置等2[1桁]+副傷病名[1桁]+重症度等[1桁]の計14桁で構成されている。点数は入院日数により逓減し、特定入院期間を越えると従来の出来高算定になる。したがって、2)が誤りで、1)、3)～5)は正しい。
7,3,3)後期高齢者医療制度の対象とならない70歳以上75歳未満の被保険者の医療費自己負担割合は、前年の収入が一定額以上(現役並み所得者)でなければ1割である。法令改正によって2008年4月より1割から2割に引き上げられることになっていたが、2013年4月1日時点では1割に据え置かれている。
8,削除,
9,2,2)麻薬の施用者免許は、医師、歯科医師、獣医師が取得でき、麻薬の管理者免許は、医師、歯科医師、獣医師、薬剤師が取得できる。したがって、2)は誤りである。1)助産師は、厚生労働大臣の免許を受けて、傷病者もしくはじよく婦に対する療養上の世話または診療の補助を行うことを業とする女子をいう(保健師助産師看護師法)。3)管理栄養士の国家試験を受ける要件は、①栄養士であって、修業年数十実務経験の合計が5年以上である者、②修業年限4年の管理栄養士養成施設を卒業した者のいずれかである。すなわち、栄養士でなければ管理栄養士にはなれない。4)、5)2006年の保健師助産師看護師法の改正によって、保健師・助産師は、看護師の国家試験にも合格していなければならないこととなった。すなわち、保健師・助産師の資格を得るためには、看護師の資格を有していなければならないこととなった。
10,5,5)医師法第20条には、「医師は、自ら診察しないで治療をし、もしくは診断書もしくは処方せんを交付し・。(中略)・・てはならない。(後略)・・・」と定められ、医師が診察をせずに処方せんを発行することは禁じられている。1)医師は、都道府県知事に申請し、麻薬施用者免許を得て麻薬を処方することができる。2)医師が電話で再診を行うことは、「診療報酬の算定方法の一部を改正する件」(平成24年厚生労働省告示)により認められている。3)医師法第19条第1項で「診療に従事する医師は、診察治療の求があった場合には、正当な事由がなければ、これを拒んではならない」とあり、診療時間には関わらず応召義務がある。4)薬剤師が処方内容を後発品に変更することは、「処方せんに記載された医薬品の後発医薬品への変更について」(平成24年厚生労働省保医発0305第12号)により認められている。ただし、処方医からの変更不可の指示および署名・押印がある場合は変更が認められない。
11,3,トリアージとは、災害発生時などに多数の傷病者が同時に発生した場合、傷病者の緊急度や重症度に応じて適切な処置や搬送を行うための傷病者の治療優先順位を決定することであり、その際に用いるタグ(識別票)がトリアージタグである。大震災などの広範囲の大規模災害で複数の救急救助機関が関わる場合に使用される標準化されたトリアージタグの色区分は、軽処置群を緑色(Ⅲ)、非緊急治療群を黄色(Ⅱ)、最優先治療群を赤色(I)、死亡および不処置群を黒色(0)としている。3)トリアージタグの赤色は重症群に用いられる。1)黄色は非緊急治療群(中等症群)に用いられる。2)緑色は軽処置群(軽症群)に用いられる。4)灰色は、米国のSALTトリアージの治療期待群に用いられている。5)青色は、カナダの緊急度判定支援システム(CTAS)の最重症者群に用いられている。
12,5,薬剤師法第23条2には、「薬剤師は、処方せんに記載された医薬品につき、その処方せんを交付した医師、歯科医師または医師の同意を得た場合を除くほか、これを変更して調剤してはならない。」と定められている。薬剤師の一存で処方せんの内容を変更してはならないので、5)が誤りである。1)～4)は、いずれも薬剤師の業務である。
13,5,平均在院日数には、入院患者、在院患者、退院患者、およびその三者を調査対象としたそれぞれの計算法があるが、「病院報告」で採用されている計算方式は、三者を対象としたものである。平均在院日数 = 一定期間の延べ入院患者数(A)(一定期間の新入院患者数(B)十一定期間の退院患者数(C))/2理論的には新入院患者数と退院患者数は等しくなるはずであるが、実際には病床数の増減や空床の発生などによって変動が起きてくるので、新入院患者数と退院患者数の平均で延べ入院患者数を割る計算方法を採っている。一方、「患者調査」では、退院した患者個々の在院日数の平均を計算している。
14,3.4,管理会計では、売上とともに変化する費用を変動費、売上には関係なくかかる費用を固定費としている。変動費は、3)医薬品費、4)診療材料費、運搬費、外注費、歩合給などである。固定費は、1)給与費、2)賃借料、5)減価償却費、管理費などが主なものである。5)減価償却費は、減価償却資産(業務のために用いられる建物、建物附属設備、機械装置、器具備品、車両運搬具などの資産)の取得に要した金額を、一定の方法によって各年分(たとえば耐用年数)の必要経費として配分した費用をいう。
15,1,A.Donabedianによれば、医療の質は、構造(ストラクチヤー)、過程(プロセス)、結果・成果(アウトカム)の3つの視点から評価すべきであるとされている。「構造」は、病院設備、保険制度、医療機器、医師や看護師などの医療従事者など、医療サービスを提供する前から定まっているもの、「過程」は、医療提供の方法や内容、「結果・成果」は、これらの構造や過程から導かれる医療の結果・成果をさす。それぞれ、1)は「構造」、2)、5)は「過程」、3)、4)は「結果・成果」の指標になる。
16,1,1)インシデントレポートを分析する目的は、インシデントが起きた背景やリスク要因を明らかにし、効果的な事故対策に結びつけることである。2)当事者の職種、3)患者の治療状況、4)当事者の経験年数、5)患者への説明内容は、インシデントの発生要因になる可能性がある。したがって、いずれも分析する必要がある。1)患者の氏名は、インシデントの発生要因になることはないので、分析する必要はない。
17,2,2)副腎は左右それぞれの腎臓上部に接して存在する一対の内分泌器官で、髄質からはアドレナリンやノルアドレナリン、皮質からはコルチゾール、コルチコステロン、アルドステロンなどのホルモンを分泌する。1)胸腺は、免疫に係るリンパ球の一種であるT細胞の分化・成熟に関与する臓器である。3)総胆管は、脂肪の消化吸収に働く胆汁を十二指腸に運ぶための導管で、総肝管と胆嚢管の合流部分から十二指腸までの部分の名称である。4)気管支は、呼吸に係る空気の通路である気道のうち、喉頭より末梢側の気管が分岐した後の枝部分の名称である。5)S状結腸は、S字状に屈曲しながら直腸に続く結腸の遠位部分の名称である。
18,2,2)結核菌と発がんの関連は知られていない。1)喫煙は肺がん、膀脱がんの危険因子としてよく知られている。3)放射線の被曝により細胞のDNAが損傷され、発がんリスクが高まる。4)ピロリ菌(ヘリコバクター・ピロリ)は胃・十二指腸潰瘍、慢性萎縮性胃炎を引き起こし、胃がんの発症要因のひとつとも考えられている。5)B型肝炎ウイルスは急性あるいは慢性ウイルス性肝炎を引き起こし、慢性肝炎では肝細胞がんを発症するリスクが高い。
19,1,動脈血は肺でガス交換が行われた直後の酸素含量に富む血液であり、肺静脈、左心房、左心室、大動脈とその分枝には動脈血が流れる。1)肺動脈は、全身の臓器に酸素を供給した後の酸素含量の少ない血液(静脈血)を、右心室から肺に送り出す血管であるから、静脈血が流れる。2)～5)は大動脈の分枝であり、動脈血が流れる。
20,4,4)心筋を栄養している冠動脈の硬化、血栓、攣縮により冠動脈が閉塞して心筋の壊死を生じるのが急性心筋梗塞である。1)心筋症は、遺伝子異常、ウイルス感染、アルコール等のさまざまな原因により心機能障害をきたす心筋の疾患で、肥大型、拡張型、拘束型などに分類される。2)心筋の一過性の虚血(酸素欠乏)により胸痛などの症状が出現しても心筋の壊死には至らない状態を狭心症と呼ぶ。3)心内膜炎は、心臓の内側の壁である心内膜が損傷して炎症を起こし、細菌のコロニーや血栓からなる元贅を生じて、心機能障害、敗血症や塞栓症を引き起こす疾患である。5)心臓弁膜症は、心臓の4つの弁のいずれかに変形、変性などを生じ、狭窄や閉鎖不全(逆流)などの血流異常を生じる疾患である。
