2013JS,解説,解答
1,5,"""10進数において大きな数を表現する接頭辞は、10^3( = 1,000)倍ごとに、それぞれ、k(キロ : 10^3)、M(メガ : 10^6)、G(ギガ : 10^9)、T(テラ : 10^12)、P(ペタ : 10^15)である。10の12乗(10^12)を表す接頭辞は5)T(テラ)である。"""
2,3,16進数を2進数に変換するには、各桁をそれぞれ4桁の2進数に変換する。1F(16)の場合、1(16) = 0001(2)、F(16) = 1111(2)であるため、3)00011111となる。これを計算により求めるには、各桁を一度10進数に変換し、順次2で割った余りを上位の桁から並べる。1(16) = 1(10)、F(16) = 15(10)なので、1(16) = 0001(2)、F(16) = 1111(2)、が得られる。なお、1)は07(16)、2)は0F(16)、4)は3F(16)、5)は7F(16)である。
3,3,3)NOR演算はOR演算の結果を逆転させたもので、両者の入力が0の時のみ出力が1となる。本設間ではX = 1、Y = 0なので、演算結果は0である。1)AND演算は、両者の入力が1の時のみ出力が1となる。notYはYに対するNOT演算であり、本設問ではnotY = 1なので、演算結果は1である。2)NAND演算はAND演算の結果を逆転させたもので、両者の入力が1の時のみ出力が0となる。本設間の演算結果は1である。4)OR演算は、いずれかの入力が1であれば出力が1となる。本設問の演算結果は1である。5)XOR演算は、両者の入力が異なる時に出力が1となる。本設問の演算結果は1である。
4,3,3)JISX0201は、日本工業規格(JIS)が制定した文字コードのひとつで、英数字、記号、半角カタカナは扱えるが、漢字は扱えない。1)EUC-JPは、EUC(拡張UNIXコード)の符号化方式でASCIIおよびJIS X 0208(JIS漢字コード)の文字集合を配置したもので、漢字を扱うことができる。2)ISO-2022-JPは、日本語の電子メールでよく使用される文字コードである。7ビットで構成される文字集合をエスケープシーケンスで切り替えることによって、ASCIIや半角カタカナのほかに漢字を扱うことができる。4)JIS X 0208は、JISが制定した文字コードのひとつで、JIS漢字コードやJIS基本漢字と通称されており、漢字を扱うことができる。5)UTF-8は、世界中で使用される文字を1つの文字集合で表すことを意図した規格であるUnicodeを符号化する方式のひとつである。漢字をはじめ、多くの言語の文字を扱うことができる。
5,4,"""RAID5では、保存するデータを一定サイズごとに(ディスク台数 - 1)台のディスクに分散させて保存するとともに、それらのデータから算出されるパリティ値を各ディスクに分散させて保存する。そのため、実際に保存可能なデータ容量(実効容量)はディスクの全容量とはならず、ディスク1台の容量×(ディスク台数 - 1)となる。容量500GBのディスク装置5台の場合、実効容量は500GB×(5 - 1)で、4)の2TB( = 2,000GB)となる。"""
6,1,1)OMR(Optical Mark Reader)は、マークシート上の所定の位置を塗りつぶしたマークを光学的に読み取る入力装置である。2)PDA(Personal Digital Assistant)は、片手に持って操作できる程度の大きさの携帯情報端末のことである。3)タッチパネルは、ディスプレイ表面を指や専用のベン型デバイスなどで触れることによって、画面上の位置(座標)を入力する装置である。4)バーコードリーダは、印刷されたバーコードを光学的に読み取る入力装置である。5)ICカードリーダは、ICカードに埋め込まれたICチップのデータを物理的な接続(接触式)または電波(非接触式)により読み取る装置である。
7,2,CD、DVD、BDは光ディスクの種類を表し、R、RE、ROMは記録形態の種類を表す。RE(Rewritable)は消去・書き換え可能であることを意味し、CD、DVDではRWと表記する。したがって、2)が正解である。R(Recordable)はデータの書き込みを一度だけ行える。ROM(Read only Memory)は、あらかじめデータが書き込まれた状態で製造され、データを読み出すことはできるが、書き込むことはできない。CD、DVD、BDの大きな違いは記憶容量で、CDは700MB、DVDとBDはそれぞれ片面1層で4.7GBと25GBの記憶容量を持つ。
8,4,DVIは、コンピュータと液晶ディスプレイなどのデジタルディスプレイ装置を接続するインターフェースで、4)DVI-Iはデジタル、アナログ両デイスプレイに接続できる。1)IDEは、コンピュータと内蔵のハードディスクを接続するためのパラレルインターフェースで、現在はSATAに置き換えられている。2)PS/2は、キーボードやマウスを接続するコネクタの規格である。現在ではキーボード、マウスともにUSBによる接続に置き換えられている。3)eSATAは、コンピュータと外付けのハードデイスクなどを接続するためのインターフェースで、最大転送速度は3GbpsとUSB2.0よりは高速であったが、USB3.0の普及にともないその優位性は失われている。5)RS-232Cは、コンピュータと測定装置などの電子機器を接続するためのシリアル通信インターフェースの規格のひとつである。
9,5,SSD(Solid State Drive)は、記憶媒体として5)磁気デイスクではなく、フラッシュメモリを用いるドライブ装置である。機械的駆動部分を持たないため、HDD(Hard Disc Drive)に比べて、3)軽量で、1)衝撃に強く、2)読み取り速度が速い。ただし、フラッシュメモリを用いるため、4)書き換え回数に制限がある。
10,1,1)AVIは、Microsoft社が開発したWindows上で音声付きの動画を扱うためのデータ形式である。2)GIFは、JPEGとともにインターネットで標準的に使われる画像形式で、256色までの画像を保存でき、イラストやアイコンなどに用いられている。3)PNGは、特許問題があったGIFに代わるものとして開発されたビットマップの可逆圧縮画像フォーマットで、GIF画像と同様な用途で使用する。4)JPEGは、非可逆圧縮画像フォーマットで、品質の劣化を抑えながら効果的な圧縮が行える。24ビット(1677万色)まで使えるため写真などの自然画の圧縮には効果的である。5)TIFFは、ビットマップ形式の画像を保存するための画像ファイル形式で、タグという情報を追加することでさまざまなビットマップ形式の画像を扱える。
