2015IS,解答,解説,,,,
1,医療情報の種類に関する組み合わせで誤っているのはどれか。番号を解答記入欄( 1 )にマークしなさい。,CT ― 画像情報,心電図 ― 波形情報,歯式 ― コード情報,総ビリルビン検査 ― 数値情報,ICD-10 ― テキスト情報
2,通常、動画として参照されるのはどれか。番号を解答記入欄( 2 )にマークしなさい。,PET検査,造影CT検査,頭部MRI検査,眼底カメラ検査,心臓カテーテル検査
3,診療情報の一次利用にあたるのはどれか。番号を解答記入欄( 3 )にマークしなさい。,症例報告,病院経営管理,医療政策の立案,診療情報提供書,臨床実習におけるカルテ参照
4,「OECDの8原則」とその説明の組み合わせについて、誤っているのはどれか。番号を解答記入欄( 4 )にマークしなさい。,収集制限の原則 ― 適正かつ公正な手段によって収集する。,データ整合性の原則 ― データは正確かつ完全で最新のものに保つ。,目的明確化の原則 ― データの利用は当該目的の範囲内に限定される。,公開の原則 ― 本人の求めに応じて、診療情報を提供する。,責任の原則 ― データ管理者は他の諸原則の実施に対して責任を持つ。
5,医療情報の取扱いについて、適切でないのはどれか。番号を解答記入欄( 5 )にマークしなさい。,診療完結後5年を経過した入院診療録を廃棄した。,疑義照会を行うためにファクシミリで処方箋を送信した。,診療録のうち、医師が行った判断や評価部分の開示を拒否した。,調剤済みの院内処方箋を、インデックス等を付けて保存している。,個人情報が入った暗号化機能付きUSBメモリを紛失したことを公表した。
6,診療情報の提供について本人の同意を得る必要があるのはどれか。番号を解答記入欄( 6 )にマークしなさい。,患者の弁護士からの照会,がん検診の精度管理のための情報提供,地域がん登録事業にもとづく情報提供,児童虐待事例についての関係機関との情報交換,災害発生時の警察による負傷者の住所・氏名等の照会
7,保存義務のある文書等の電子保存の3基準における要求事項ともっとも関連が薄いのはどれか。番号を解答記入欄( 7 )にマークしなさい。,作成責任の所在を明確にする。,故意による書き換えを防止する。,任意の第三者による閲覧を制限する。,必要に応じて直ちに書面にて表示出来る。,法令に定める保存期間内に復元可能な状態で保存する。
8,「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律」(医薬品医療機器等法)において、医療機器に該当すると考えられるのはどれか。番号を解答記入欄( 8 )にマークしなさい。,患者説明用プログラム,健康管理用プログラム,医療機器の貸し出し管理プログラム,治療計画・方法の決定を支援するためのプログラム,医療機器で取得したデータの転送、保管、表示を行うプログラム
9,診療所の医事会計システムに求められる機能として必要性がもっとも低いのはどれか。番号を解答記入欄( 9 )にマークしなさい。,DPCへの対応,地方公費への対応,医療費改定への速やかな対応,レセプト電算処理システムヘの対応,入力情報の欠落や不適切のチェック
10,医療情報システムにおける医療過誤対策にならないのはどれか。番号を解答記入欄( 10 )にマークしなさい。,レセプトチェック機能,インシデントレポートの分析とフィードバック,患者リストバンドを用いたバーコードによる確認,オーダエントリシステムにおける各種チェック機能,クリニカルパスシステムによる標準診療プロセスの実現
11,システムとその説明の組み合わせとして誤っているのはどれか。番号を解答記入欄( 11 )にマークしなさい。,電子カルテシステム ― 診療録の電子化,医事会計システム ― 窓口会計の電子化,オーダエントリシステム ― 依頼伝票の電子化,レセプト電算処理システム ― 診療報酬請求の電子化,PACS ― 放射線部門業務の電子化
12,患者基本情報として共有する必要がないのはどれか。番号を解答記入欄( 12 )にマークしなさい。,聴覚障害の有無,体内金属の有無,薬剤アレルギー歴,家族の面会の予定,蘇生措置拒否(DNR)の意思表示
13,通常、予約枠管理を行わない検査はどれか。番号を解答記入欄( 13 )に2つマークしなさい。,検体検査,MRI検査,内視鏡検査,胸部X線検査,血管造影検査
14,薬剤に関連するシステムと関係がないのはどれか。番号を解答記入欄( 14 )にマークしなさい。,GS1,HL7,YJコード,DICOM,HOTコード
15,外来化学療法システムの機能として不適切なのはどれか。番号を解答記入欄( 15 )にマークしなさい。,利用者ごとのアクセス権限を設定できるようにした。,抗癌剤の休薬期間をどの医師でも短縮できるようにした。,抗癌剤プロトコルの量を超えてオーダできないようにした。,体重の計測が一定期間行われないと警告を発するようにした。,当日の検査結果を見てから投薬の可否を判定するようにした。
16,入院処方オーダの運用に関して適切なのはどれか。番号を解答記入欄( 16 )に2つマークしなさい。,分量については1回量を入力することにした。,1回の服用ごとに実施入力を行うようにした。,誤入力を防ぐため投与量の入力単位をmgに統一した。,オーダ発行、実施入力とも、一般名で入力するようにした。,入力を簡便化するため最初の2文字だけで検索できるようにした。
17,病棟における持参薬の運用に関して適切なのはどれか。番号を解答記入欄( 17 )にマークしなさい。,持参薬マスターにはすべての医療用医薬品を登録した。,ジェネリック医薬品は自院で採用しているものに置き換えて登録する。,同じ病院の医師が外来でオーダ発行した内服薬は看護師の判断で与薬できる。,お薬手帳で処方内容が確認できれば、薬剤師の判断で同一のオーダを発行できる。,次週に入院予定の外来患者に対し、入院後に使用する分もまとめて外来処方オーダを発行した。
18,外来処方箋の電子化について現在の制度で認められているのはどれか。番号を解答記入欄( 18 )に2つマークしなさい。,処方箋に調剤薬局で読み取るためのQRコードを表示する。,調剤薬局での調剤後に処方箋をスキャンし、電子保存する。,病院が指定した処方受け取り調剤薬局に、処方データを伝送する。,病院でPDFファイル形式の処方箋を発行し医師が電子署名をした上で、患者に交付する。,ICチップが搭載された健康保険証を持つ患者が、そこに書き込まれた処方情報で調剤を受ける。
19,通常、生理機能検査情報の標準交換規約にDICOMを用いるのはどれか。番号を解答記入欄( 19 )にマークしなさい。,脳波検査,筋電図検査,超音波検査,血圧脈波検杏,呼吸機能検査
20,検査報告を保存するシステムとして不適切なのはどれか。番号を解答記入欄( 20 )にマークしなさい。,放射線部門システム,内視鏡管理システム,電子カルテシステム,生理検査部門システム,インシデントレポートシステム
21,輸血用血液製剤のラベルに印字されている新バーコード(二次元バーコード)に含まれていない情報はどれか。番号を解答記入欄( 21 )にマークしなさい。,血液型,患者ID,製造番号,有効期限,照射情報
22,通常、 透析管理システムの機能に含まれていないのはどれか。 番号を解 答記入欄( 22 )にマークしなさい。,服薬管理,除水情報管理,スケジュール管理,透析前後の体重管理,検査結果の取り込み管理
23,PACSを構築するにあたり、検査装置をDICOM接続するときに、最初に行われるのはどれか。番号を解答記入欄( 23 )にマークしなさい。,接続試験の実施,コネクタソンの実績確認,IPアドレスなどの情報交換,MEDIS標準マスタの確認,コンフォーマンスステートメントの確認
24,「患者に渡す医用画像媒体についての合意事項改訂版 (平成23年11月8日)」に適合しないのはどれか。番号を解答記入欄( 24 )にマークしなさい。,画像情報は圧縮しないことが望ましい。,1枚のCD-Rに複数の患者の情報を同梱しない。,CD表に患者名や問い合わせ先などを記載してはならない。,動画像は、受け取り側医療機関との合意がない場合、同梱しない。,ビューワなどのアプリケーション・ソフトウェアのオートスタートは禁止する。
25,マンモグラフィーの読影に適切なモニターの仕様はどれか。番号を解答記入欄( 25 )にマークしなさい。,"""55型カラー　画素数 : 1,920×1,080""","""27型カラー　画素数 : 2,560×1,440""","""19型モノクロ　画素数 : 1,280×1,024""","""21.3型カラー　画素数 : 1,200×1,600""","""21.3型モノクロ　画素数 : 2,048×2,560"""
26,病棟における看護業務を支援する情報システムの機能に含まれないのはどれか。番号を解答記入欄( 26 )にマークしなさい。,治療食の指示,患者の服薬確認,患者取り違え防止,指示内容の一覧表示,放射線検査予約の確認
27,歯科衛生実地指導料算定において規定されている患者への提供文書に記載が必須でないのはどれか。番号を解答記入欄( 27 )にマークしなさい。,保険医療機関名,歯科衛生士の署名,指示を行った歯科医師名,指導の開始及び終了時刻,患者 (又はその家族)の署名
