2015JS,解答,解説
1,5,データマイニングは、大量のデータからなんらかの新しい知識を取り出す技術のことである。1)データを可視化する技術のうち、多次元的に分析し視覚化・表示するツール(技法)がOLAPである。2)～4)については、データベース(もしくはデータベースシステム)がこれらの機能を持つ。なお、4)のデータを高速に見つけ出す技術には、B-tree(B 木)などの各種の探索アルゴリズムがあり、データベースシステムに実装されている。
2,3,HDMIコネクタは映像と音声をデジタル信号で伝送する。パソコンとディスプレイをデジタル接続する際のコネクタには他にDVI-D、Display Portなどがある。1)RS-232Cはネットワークスイッチなどのシリアルポートで利用されている。2)PS/2コネクタはマウスやキーボードの接続、4)D-sub15ピンコネクタはパソコンとディスプレイとのアナログ接続に使われる。5)RJ-45はネットワークケーブルの接続に使われる。
3,5,RAID10は、同じデータを複数のディスクに書き込むミラーリング(RAID1)により構成したディスクアレイを、複数のディスクアレイに分散して書き込むストライビング(RAID0)を行う方式であり、パリティ値は生成されない。図では、「ハードデイスク1」と「ハードデイスク2」、「ハードデイスク3」と「ハードディスク4」がそれぞれミラーリング構成となり、「ハードディスク1」と「ハードディスク3」がストライピングされている。3)RAID 5はストライピングしたデータとパリティ値をそれぞれのディスクに分散して書き込む方式であり、最低3台以上のディスクが必要となる。4)RAID6は、書き込みの際に2種類のパリティ値を計算し、それぞれ別のディスクに書き込む方式であり、最低4台以上のディスクが必要となる。
4,4,Blu-rayディスクは、4)レーザー光(青色半導体レーザー)を用いてデータの読み書きを行う。ハードディスクやフロッピーディスクは磁気、SSDやUSBメモリなどは電気を用いて、データの読み書きを行っている。2)赤外線は端末間のデータ交換に利用されているものである。5)マイクロ波は電波の周波数のうち、もっとも短い波長を指す。
5,3,RAID5では、それぞれのディスクにデータとパリティが分散して書き込まれる。そのため1台が故障しても、残りのディスクからデータとパリティを復元できる。このパリテイの保存は、RAID5を構成するデイスク数(3台以上)によらず1台分のディスク容量と決められている。つまり、使用可能な実効容量としては、構成台数から1台を減じた台数分の容量となる。したがって、2TB×(4 - 1)台の6TBが実効容量となる。
6,2,スキャナの解像度はdpi(dots per inch)で表される。ドットの密度を表しているため、数字が大きいほど詳細に情報を取り込む(スキャンする)ことができる。ただし、取り込み時間が長くなるうえに、取り込み後のファイルサイズが大きくなるため、一般的には文書では300dpi、写真では600dpiの解像度が使われることが多い。1)bpsはbits per secondの略でネットワークの通信速度、3)ppmはpages per minuteの略でプリンタなどの1分あたりの印刷可能な枚数、4)rpmはrevolution per minuteの略でハードディスクなどの1分間あたりの回転数を表す。5)pixelはディスプレイなどに表示された画像を構成するひとつの点である画素を表す。
7,4,コンピュータの主要な装置を表す5大装置の分類に従うと、ハードディスクは補助記憶装置に分類される。1)タッチパッドは入力装置、2)ディスプレイは出力装置である。3)メインメモリと5)キャッシュメモリは主記憶装置に分類される。なお、5)キャッシュメモリは、パソコンではCPUチップに内蔵されているメモリを指す場合が多い。
8,3,オペレーティングシステムの機能には、1)メモリ管理、2)タスク管理、周辺機器の制御、ネットワークのサポート、ファイルシステムの管理、ユーザの管理、5)ユーザインターフェースの提供、4)日本語環境のサポート、電源の管理などがある。3)データベースシステムはデータベースとデータベース管理システムからなり、その管理はオペレーティングシステムの機能には含まれない。
9,1,プログラミング言語をプログラムの実行方法で分類すると、コンパイラ言語、インタプリタ言語、スクリプト言語およびマクロ言語などに分けられる。プログラムを実行するために機械語への変換(コンパイル)が必要な言語はコンパイラ言語である。1)Cは、コンパイラ言語である。2)PHP、 3)Perl、 4)Ruby、 5)JavaScriptはスクリプト言語である。
10,5,16進数から2進数への変換では、桁ごとに変換しそのまま結合すればよい。本設問の場合、「58(16)」と「47(16)」の和は桁ごとに和(足し算)をすると「9F(16)」となる。2進数への変換は、桁毎に変換して、9(16) = 1001(2)、F(16) = 1111(2)。これを結合すると選択肢5)10011111となる。各桁の変換を計算により求める場合は、各桁を一度10進数に変換し、順次2で割った余りを上位の桁から並べる。9(16) = 9(10)、F(16) = 15(10)なので、9(16) = 1001(2)、F(16) = 1111(2)が得られる。
11,3,5)PNG(Portable Network Graphics)はビットマップ画像を扱うファイルフォーマットであり、音声のデータ形式ではない。1)AAC(Advanced Audio Coding)は、アップル社の標準オーディオ形式で、動画の圧縮データ形式MPEG-2やMPEG-4で用いられている音声圧縮アルゴリズムを利用した音声規格である。2)MP3(MPEG-1 Audio Layer-3)は、音声圧縮技術のひとつであり、それらから作られる音声ファイルフォーマットである。4)WMA(Windows Media Audio)は、マイクロソフト社が開発した音声データの標準フォーマットである。5)ATRAC3(Adaptive TRansform Acoustic Coding 3)は、ソニー社が開発した音声圧縮記録方式である。
12,5,5)UTF-8は、Unicodeで使える文字コードのひとつである。1)Xerox社が提唱し、アップル社、IBM社、マイクロソフト社、ヒューレット・パッカード社などがThe Unicode Consortiumを立ちあげて策定したため、機種依存がない。2)Unicodeを元に、1文字を1～6バイトの可変長バイトで表現している(バイト長は固定ではない)。 3)JIS規格ではない。また、4)表示においてコンパイルの必要はない。
13,2,2進数の排他的論理和(XOR)は、演算する2進数が同じときは「0」 、異なるときは「1」になる。したがって、1111 XOR 1011 = 0101となり、 2)0101となる。
14,4,"""標本化とはアナログ信号を一定時間間隔で読み取ることである。8kHzの標本化ではアナログ信号を1秒間に8,000回読み取るので、8,000個のデータが生成される。次にひとつひとつのデータをデジタル信号に変換するために量子化が行われる。ここではひとつのデータが10ビットで量子化されるので、1秒間のデータ量は8,000個/秒×10ビット/個÷8ビット/バイト = 10,000バイト(10キロバイト)になる。1時間は3,600秒なので1時間のデータ量は36,000キロバイト、つまり36メガバイトになるので、答えは4)である。"""
15,4,"""ポート番号はコンピュータ上の通信サービスを識別するための番号で16ビット(0～65,535)の番号で管理されている。したがって、答えは4)である。1)32ビットで表現されるものにIPアドレス(IPv4)がある。IPアドレスはネットワーク上の通信機器を識別するための番号である。2進数で表現できるが通常8ビットごとに区切り、10進数で192.168.10.123のように表す。2)、 3)はMACアドレスについての記述である。MACアドレスは通信デバイス(ネットワークカードなど)に出荷時に割り当てられた48ビットの識別番号である。MACアドレスは16進数で表され、前半の24ビットはベンダー固有の値、後半の24ビットは出荷時にデバイス固有の値が割り当てられる。5)アクセスポイントは無線LANでPCなどの端末をネットワークに接続するための機器である。個々のアクセスポイントを識別するためにSSIDが割り当てられている。なお、無線ネットワークの識別名に拡張したESSIDもSSIDと呼称されることが多い。SSID/ESSIDは最大32文字の数字または文字列で表現される。"""
16,5,5)ICMP(Internet Control Message Protocol)はIP(Internet Protocol)を用いた通信における誤りや、通信に関わる情報を通知するためのプロトコルである。1)SMTP(Simple Mail Transfer Protocol)は電子メールの送信に使われるプロトコルである。 一方、2)POP3(Post Office Protocol version 3)と3)IMAP4(Internet Message Access Protocol version 4)は電子メールの受信に使われるプロトコルである。4)SMIME(Secure Multipurpose Internet Mail Extension)は画像、動画や音声などを扱うための電子メールの規格であるMIMEの枠組みのなかで、暗号化を実現したプロトコルである。
17,1,pingはICMP(Internet Control Message Protocol)を使ってネットワークの接続を確認するためのコマンドである。WindowsOSではコマンドプロンプト・ウィンドウ(通称、DOS窓)上でコマンド入力して利用する。pingコマンドの後に接続を確認したい装置のIPアドレスを付けて実行し、確認装置からの応答の有無と応答に要した時間を調べる。2)サーバにファイルを転 送するにはFTP(File Transfer Protocol)が用いられる。3)通信先までの途中経路を調べるにはWindowsではtracertコマンド、 Linuxではtracerouteコマンドが用いられる。4)ホスト名からIPアドレスを調べるにはnslookupコマンドでDNS(Domain Name System)を参照して調べることができる。5)IPアドレスからホスト名を調べるには、同様にnslookupコマンドを使って逆引きする。
