2017IS,解答,解説
1,5,5)心臓カテーテル検査は、冠動脈や左心室にカテーテル(細い管)を挿入し、心臓内の圧や血液の酸素濃度を測定したり、そこに造影剤を注入して血流の状態および心臓の動きを把握する検査であり、血流と冠動脈の狭窄や閉塞の状況を把握し、また心臓の動きを観察するために動画で撮影する。1)PET検査、2)造影CT検査、3)頭部MRI検査、4)眼底カメラ検査はいずれも静止画として記録される。
2,5,5)診療報酬明細書作成のために利用することは、医療行為の公的書類作成のための診療情報の利用であり、一次利用である。1)医学研究、2)病院経営管理、3)医療政策の立案および4)保健所への報告は、患者の診療 目的の利用や医療行為の公的書類作成のための利用ではなく、患者に直ちに還元するものではない。これらは診療情報の二次利用にあたる。
3,2,2)携帯電話番号は、様々な契約形態や運用実態があることから特定の個人を識別することができるとは限らず、個人情報の保護に関する法律施行令においても、個人識別符号には掲げられていない。ただし、氏名等の他の情報と容易に照合することができ、特定の個人を識別できることとなる場合は、個人情報に該当する。個人情報の保護に関する法律施行令第1条に記載のとおり、1)個人番号、3)基礎年金番号、4)運転免許証番号、5)指紋特徴データは、個人識別符号である。
4,3,「個人情報の保護に関する法律」(平成15年成立、平成27年改正)に基づいた医療・介護事業者に関する個人情報の第三者提供に関する問題である。3)職場の上司等からの問合わせへの回答は第三者提供に該当し、患者本人の同意を得ずに病状や回復の見込み等を回答してはならない。1)「国の機関が法令の定める事務を遂行すること」に該当、2)「人の保護が必要だが同意を得ることが困難であるとき」に該当、4)、 5)「法令に基づく場合」に該当、いずれも第三者提供の例外となる。
5,1,遠隔医療の提供者と対象者の関係についての問題である。D to P型とはDoctor to Patientのことで医師と患者との間で行われる遠隔医療のことである。1)は患者に対して医師が遠隔で健康管理指導を行うことで、D to P型である。2)は看護師が患者に対して看護の業務を行うこと(N to P(Nurse to Patient)型)、 3)は遠隔病理診断で(D to D(Doctor to Doctor)型)、 4)は遠隔放射線画像診断で(D to D型)、5)は遠隔会議のことではとんどは医師と医師の間で行われる(D to D型)である。
6,1.4,平成9年厚生省健康政策局長通知の「情報通信機器を用いた診療 (いわゆる「遠隔診療」)について」に遠隔診療を行うに当たっての留意事項として記載された内容に基づく問題である。1)は「情報通信機器が故障した場合における対処方法について、あらかじめ患者側及び近隣の医師又は歯科医師と綿密に打ち合わせ、取り決めを交わしておくこと。」、4)は「遠隔診療の開始に当たっては、患者及びその家族等に対して、十分な説明を行い、理解を得た上で行うこと。」に該当する内容である。2)の保健所への届出は不要であり、3)専用通信回線の設置と5)生体情報収集装置の設置は、あると都合がよいが必須ではない。
7,1,1)診療情報を電子保存していることは、患者の医療情報を電子的に送受信するためにはあるほうが望ましいが、なくても行うことはでき、施設基準には含まれていない。選択肢 2)～5)は施設基準に示されている内容である。
8,1.3,1)データをセンター管理しなくても相互閲覧は可能であり必須とはいえない。3)地域医療連携システムの運用管理規程は参加病院の間で統一する必要があるが、病院のシステムは病院ごとに独立に構築されるものであり、運用管理規程も独自のもので差し支えはない。診療情報の共有には患者の同意と理解が重要であり、2)と4)は必須である。適切に運用するためには5)のセキュリティ教育は必須である。
9,2,2)RIS(Radiology Information System)は病院内における放射線部門情報システムであり、放射線機器を用いた検査・治療に関する予約から結果までの情報の管理を行うシステムである。したがって、地域医療連携ネットワークとは基本的には関係がない。地域医療ネットワークシステムの構築には情報の交換のために標準規格を用いることが望ましく、医療情報交換のための標準規格である1)HL7(Health Level Seven)や医用画像の画像・通信プロトコルの標準規格である　5)DICOM(Digital Imaging and Communications in Medicine)が用いられる。通信の漏洩・盗み見を防ぐため、ネットワークにはインターネット上でプライベートネットワーク間が専用線で接続されているかのように利用できる　3)VPN(Virtual Private Network : 仮想プライベートネットワーク)が利用される。また、利用者のなりすまし、文書やデータの改ざんを防ぐために保健医療福祉分野に適用される公開 鍵基盤 (PKI)である4)HPKI(Healthcare Public Key Infrastructure)が利用される。
10,2.4,システムにおいて医薬品はコードで管理されるため、患者ごとに2)アレルギーを起こした医薬品をコードで管理すべきである。4)既往がないことを確認したことを明確に記録するため、確認日を入力すべきである。したがって、2)と4)が正解である。1)既往の有無の初期値を「無」としてしまうと、アレルギー歴がないと誤認されアレルギー既往のある医薬品を投与してしまう医療事故の原因となりうる。3)採用薬のみでチェック用マスターを作成した場合、アレルギー既往のある医薬品が採用薬以外であった場合にチェック対象として登録できず、同様に誤投与の原因となりうる。5)アレルギーを起こした医薬品をテキストのみで入力することは適切でない。
