2019JS,問題文,選択肢１,,,,
1,2進数「100000111111010」を16進数で表現したのはどれか。番号を解答記入欄( 1 )にマークしなさい。,31FB,41FA,4FF8,71F2,AF18
2,データ量が最も大きいのはどれか。番号を解答記入欄( 2 )にマークしなさい。,8GByte,4Pbyte,0.4TByte,0.4EByte,"""8,192MByte"""
3,"""RGBの各色が8bitで表現される1,920×1,080画素の非圧縮画像ファイルのデータ量はどれか。番号を解答記入欄( 3 )にマークしなさい。""",2MB,4MB,6MB,8MB,10MB
4,16進数「92」と「A8」の排他的論理和(XOR)を2進数で表したのはどれか。番号を解答記入欄( 4 )にマークしなさい。,111010,1000101,10000000,10111010,100111010
5,コンピュータを構成する装置のうち、他の装置に指示を出すのはどれか。番号を解答記入欄( 5 )にマークしなさい。,制御装置,記憶装置,演算装置,入力装置,出力装置
6,登録された複数の処理を自動で一括処理するのはどれか。番号を解答記入欄( 6 )にマークしなさい。,バッチ処理,オフライン処理,オンライン処理,リアルタイム処理,タイムシェアリング処理
7,SSD(Solid State Drive)について正しいのはどれか。番号を解答記入欄( 7 )にマークしなさい。,光ディスクである。,磁気ディスクである。,読み出し専用である。,フラッシュメモリである。,ランダムアクセスができない。
8,同容量のハードデイスク12台でRAID10を構成すると、実効容量は最大でデイスク何台分か。番号を解答記入欄( 8 )にマークしなさい。,3台,4台,6台,10台,11台
9,ディスプレイの種類と解像度の組み合わせで正しいのはどれか。なお、数字は縦・横のビクセル数を表す。番号を解答記入欄( 9 )に マークしなさい。,"""4K - 7.680×4,320""","""HD - 1,920×1,200""","""FHD - 1,920×1,080""",VGA - 800×600,"""SXGA - 1,024×768"""
10,リーダーライターから発信される電波を用いて情報を読み書きするのはどれか。番号を解答記入欄( 10 )にマークしなさい。,磁気カード,QRコード,バーコード,接触式ICカード,非接触式ICカード
11,オペレーティングシステムでないのはどれか。番号を解答記入欄( 11 )にマークしなさい。,DOS,Java,UNIX,Android,Windows
12,ハードウェアの基本的な制御のために、機器に内蔵されたROMやフラッシュメモリにあらかじめ格納されたプログラムはどれか。番号を解答記入欄( 12 )にマークしなさい。,シェアウェア,ミドルウェア,ファームウェア,デバイスドライバ,アプリケーションソフトウェア
13,コンピュータの処理手順を、記号を用いて図で表現したのはどれか。番号を解答記入欄( 13 )にマークしなさい。,ガントチャート,フローチャート,クリティカルパス,レーダーチャート,アローダイアグラム
14,スタックに「A→B→C」の順で入力されたデータの出力の順序はどれか。番号を解答記入欄( 14 )にマークしなさい。,A → B → C,A → C → B,B → A → C,C → A → B,C → B → A
15,デジタルハイビジョン対応の動画コーデックはどれか。番号を解答記入欄( 15 )にマークしなさい。,MP3,JPEG,H.263,H.264,MPEG-1
16,アナログ情報を一定間隔で区切 り、区切ったところの値を拾い上げる処理はどれか。番号を解答記入欄( 16 )にマークしなさい。,近似化,標本化,符号化,分子化,量子化
17,関係データベースで、2つの集合の要素を1つずつ取り出し、すべての組み合わせを作る演算はどれか。番号を解答記入欄( 17 )にマークしなさい。,積,和,直積,結合,選択
18,"""表''画像検査記録''に対して次のSQL文を実行した場合、得られるデータはどれか。 番号を解答記人欄( 18 )にマークしなさい。　SELECT モダリティ, COUNT(オーダ番号)  FROM 画像検査記録 WHERE 検査日 = '20190207' AND 実施 = '済' GROUP BY モダリティ;""",2019/02/07の画像検査の総数,2019/02/07以外の実施済の画像検査数,2019/02/07のモダリティ毎の実施一覧,2019/02/07のモダリティ毎の実施件数,2019/02/07で実施済が最も多いモダリティ
19,データベースの一連の操作がすべて成功した場合に、変更結果を確定する処理はどれか。番号を解答記入欄( 19 )にマークしなさい。,アボート,コミット,ロールバック,トランザクション,フェイルオーバー
20,表''材料伝票テーブル''から数量順に並べ替えるSQL文の( )内に入れる語句として適切なのはどれか。番号を解答記入欄( 20 )にマークしなさい。SELECT * FROM 材料伝票テーブル( )数量;,IN,JOIN,LIKE,GROUP BY,ORDER BY
21,OSI参照モデルにおいてルーティング(経路制御)を行う層はどれか。番号を解答記入欄( 21 )にマークしなさい。,物理層,データリンク層,ネットワーク層,トランスポート層,アプリケーション層
22,OSI参照モデルのトランスポート層で利用されるプロトコルで、相手とのコネクションを確立して通信するのはどれか。番号を解答記入欄( 22 )にマークしなさい。,NTP,PPP,TCP,UDP,UTP
23,192.168.32.0/23のサブネットマスクはどれか。番号を解答記入欄( 23 )にマークしなさい。,255.255.248.0,255.255.252.0,255.255.254.0,255.255.255.0,255.255.255.128
24,電子メールの受信に使うサービス名称とポート番号の組み合わせで正しいのはどれか。番号を解答記入欄( 24 )にマークしなさい。,POP3 ― 993,SMTP ― 465,POP3s ― 995,SMTPs ― 25,IMAP4s ― 110
25,Webブラウザを使ってhttp://www.jami.jp/index.htmlにアクセスすると、「サーバーのIPアドレスが見つかりませんでした」と表示された。原因として考えられるのはどれか。番号を解答記入欄( 25 )にマークしなさい。,ページが存在しない。,DNSサーバーが停止していた。,ファイルのアクセス権がない。,サーバーの内部処理が不正である。,当該Webサーバーが停止していた。
26,VLANの説明として正しいのはどれか。番号を解答記入欄( 26 )にマークしなさい。,データを暗号化して通信できる。,物理的なネットワーク分割である。,信頼性を重視する通信で使われる。,ネットワーク設定情報が自動的に提供される。,1台のスイッチに複数のネットワークを割り当てられる。
27,無線 LANを識別するための情報はどれか。番号を解答記入欄( 27 )にマークしなさい。,CDMA,MIME,TKIP,WPA2,ESSID
28,無線 LANで多数のアンテナを使って高速化を図る技術はどれか。番号を解答記入欄( 28 )にマークしなさい。,ATM,PoE,CDMA,MIMO,Wi-Fi
29,図中のPCがInternetへ通信する場合、ルータBの経路表 Zに記載されるネットワークインターフェースは、図中の1)から5)のうちのどれか。番号を解答記入欄( 29 )にマークしなさい。,1),2),3),4),5)
30,IEEE802.11nの規格で接続した無線 LANを使って600Mbyteのファイルをダウンロードするのに要する時間はどれか。ただし、通信規格の最大速度に対する実効速度は25%とし、エラーや再送はないものとする。番号を解答記入欄( 30 )にマークしなさい。,1秒,4秒,８秒,16秒,32秒
31,情報セキュリティの3要素 (CIA)のうち、情報資産の正確さを保護する特性はどれか。番号を解答記入欄( 31 )にマークしなさい。,可用性,完全性,機密性,信頼性,正確性
32,情報セキュリティの要素である「機密性」に関する技術はどれか。番号を解答記入欄(32)にマークしなさい。,負荷分散,ユーザー認証,デジタル署名,システムログ,タイムスタンプ
33,脅威発生の要因を変更し、リスクを消し去るのはどれか。番号を解答記入欄( 33 )にマークしなさい。,リスク削減,リスク回避,リスク分散,リスク移転,リスク保有
34,PKIについて、図中の(ア)と(イ)の組み合わせで正しいのはどれか。番号を解答記入欄( 34 )にマークしなさい。,(ア)認証局 ― (イ)証明書,(ア)認証局 ―  (イ)許可証,(ア)法務局 ― (イ)証明書,(ア)認証局 ― (イ)電子署名,(ア)法務局 ― (イ)電子署名
35,情報セキュリティに特化したリスクマネジメントシステムはどれか。番号を解答記入欄( 35 )にマークしなさい。,ISMS,NISC,CSIRT,情報セキュリティ監査,情報セキュリティポリシー
36,次の文中の(ア)と(イ)の組み合わせで正しいのはどれか。番号を解答記入欄( 36 )にマークしなさい。 「ハイブリッド暗号化方式では、送信者は(ア)を用いて共通鍵を暗号化し、受信者は(イ)を用いて共通鍵を復号する。」,(ア)秘密鍵 ― (イ)共通鍵,(ア)公開鍵 ― (イ)秘密鍵,(ア)秘密鍵 ― (イ)公開鍵,(ア)公開鍵 ― (イ)公開鍵,(ア)公開鍵 ― (イ)共通鍵
37,特定の企業や個人を狙ったサイバー攻撃はどれかの番号を解答記入欄(37)にマークしなさい。,標的型攻撃,ブルートフォース攻撃,バッファオーバフロー攻撃,SQLインジェクション攻撃,クロスサイトスクリプティング攻撃
38,本物そっくりのWebページに誘導して個人情報を盗む行為はどれか。番号を解答記入欄( 38 )にマークしなさい。,ボット,アドウェア,フィッシング,スパイウェア,ランサムウェア
39,サイバー攻撃で侵入者が不正行為に利用するために設置するのはどれか。番号を解答記入欄( 39 )にマークしなさい。,DMZ,VPN,ルータ,バックドア,ファイアウォール
40,無線 LANのセキュリティ規格はどれか。番号を解答記入欄( 40 )にマークしなさい。,PGP,CHAP,LDAP,WPA2,CSIRT
41,SSL/TLSについて正しいのはどれか。番号を解答記入欄（41）にマークしなさい。,通信が高速化する。,証明書が不要である。,データを修復できる。,暗号化した通信に用いる。,不正なプログラムを検出できる。
42,リバースエンジニアリングとは何か。番号を解答記入欄( 42 )にマークしなさい。,プログラムのバグを発見すること,プログラムから機能を取り外すこと,プログラムのバージョンを元に戻すこと,プログラムのバージョンを元に戻すこと,プログラムを解析して仕様を作成すること
43,プロジェクトの各工程を各担当者の作業レベルまで分解し階層化・構造化したのはどれか。番号を解答記入欄( 43 )にマークしなさい。,DFD,UML,WBS,E-R図,ネットワーク図
44,ソフトウェアの使用許諾の一つであるボリュームライセンスについて正しいのはどれか。番号を解答記入欄( 44 )にマークしなさい。,登録したユーザーのみが利用できる。,購入したライセンス数だけ利用できる。,契約した組織内で無制限に利用できる。,登録したコンピュータのみで利用できる。,契約した容量の範囲内で自由に利用できる。
45,以下のネットワーク図におけるクリテイカルパスはどれか。番号を解 答記入欄( 45 )にマークしなさい。,A → B → D → F,A → B → E → F,A → C → E → F,A → B → C → E → F,A → B → D → E → F
46,正常稼働中は待機系の電源を切っておく耐障害設計はどれか。番号を解答記入欄( 46 )にマークしなさい。,ミラーリング,フェールセーフ,クラスタリング,デュアルシステム,コールドスタンバイ
47,情報システムの組織的安全管理対策に該当するのはどれか。番号を解答 記入欄( 47 )にマークしなさい。,防犯カメラの設置,ユーザー教育の実施,サーバー室の耐震工事,事業継続計画(BCP)の策定,遠隔地バックアップシステムの構築
48,デスクトップ仮想化はどれか。番号を解答記入欄( 48 )にマークしなさい。,RDP,TSS,VDA,VDI,VDT
49,アプリケーションサービスを提供するクラウドサービスモデルはどれか。番号を解答記入欄( 49 )にマークしなさい。,BaaS,DaaS,IaaS,PaaS,SaaS
50,大量データから隠れた規則や関係を抽出するのはどれか。番号を解答記入欄( 50 )にマークしなさい。,SDN,OLAP,ビッグデータ,データマイエング,データウェアハウス
