2019IS,解答,解説
1,5,5)マ ンモ グラフイは乳がんの診断に使われ、病変部 を影 として捉 えるため、 カラー画像 を利用 しない。1)CT検査 は組織や造影剤の流れに着色 して精密 な診断 を行 う。2)眼 底 カメラは色調 で血管や病変の評価 を行 う。3)超 音 波検査 は血流や組織 の弾性 な どをカラーで表示す る。4)内視鏡検査 は表面の色彩の相違や染色 による色彩変化で病変部位 を同定する。
2,1.2,1)統計資料の作成および 2)臨 床研究、疫学研究は直接患者 には還元 されないので二次利用に該当す る。患者の診療 で 3)提供 したサー ビスの記録 は医療行為の公 的書類作成 のため に、4)患 者 ケアの計画立案 と実施の根拠 は計画 したケア内容を患 者や医療 専 門職 間で共有す るため に、5)包括 (DPC)・ 出来高払い保険請求の根拠 は患者に実施 した診療内容に基づいて作成・請求するために利用 され、 これ らは一次利用 に該当する。
3,2.4,2)J― DREAMSは 匿名化・暗号化 され糖尿病患者の同意 を得 て登録 され る。4)指 定難病患者データベースは利用 目的を明示 し本人の同意を得 る必要がある。1)MID― NETは個人 を識別 で きない よう処理 されてお りあ らか じめ本人の同意 を得 る必要はない。3)DPCデー タベースは医療機関か ら本人を特定 しうる情報を匿名加工 されたデー タとして受け取 るため本人の同意 を得 る必要 はない。5)介護保 険総合デー タベ ース は提 出前 に個人を特定で きる情報を匿名化 した介護 レセプトデー タな どを収集 した もので本人の同意 を得る必要はない。
4,4,患者の最終的な治療方針や日程は、紹介先で診療を受けた後に決まるものであり、手術が必要となればその診療科で予約が行われる。したがって、地域医療連携室における4)手術予約機能の必要性は低い。地域医療 連携室では、病病・病 診連携をスムーズに行うため、1)紹介状管理、2)紹介元管理、3)返書作成機能、5)返書送付等のための宛名ラベル印刷機能は業務に必要である。
5,4,4)一 般的に、病理検査は検査技師などが行い、病理診断については病理医が行う。その結果が主治医に報告され、診療に用いられる。1)退 院時要約、3)入院診療計画書は主治医が作成する。2)病名は主治医が決定し、入力する。5)患者プロファイルは「現在の病状の要約」「現在の健康状態に繋がる背景の要約」とされており、主治医が入力する情報も多い。
6,2または5,2)外来診療予約機能はシステムの機能として実装されていても、地域医療連携室などを通さずにオンラインで診療予約ができることは運用上の課題があって利用されていないことが多い。5)一 般 的には外来診療予約を複数診療科で「同一日時」にはとらない。ただし、外来診療で1時間とか午前中、といった広い時間帯で予約を取る病院もある。この場合は、同一日時に複数予約を入れる必要がある。上記により、2)、 5)の双方を正解とした。1)、 3)、 4)はいずれも必要な機能である。
7,2,2)マイナンバーは社会保障、税務、災害対策に関する手続きのために行政機関や金融機関、勤務先などに提供するもので、医療機関では収集・保管せず医事会計システムにも登録されない。1)連絡先として勤務先が登録されることが多い。3)～ 5)は医事会計業務に必要な情報である。
8,2.5,患者への医療費請求を行ううえで未払い情報を管理する2)未 収金管理が必要 となる。DPC対象病院ではDPC別 包括評価方式に基づいた5)DPC請 求管理機能が必要である。1)空床管理機能は病床を適切に利用できるよう看護管理支援 システムに含 まれる。3)物品購入管理機能は診療に使用する薬品や医療材料の適正数を保持するよう物流管理システムに含 まれる。4)臨 床研究管理機能は、臨床研究管理センターなどで治験管理と合わせてシステム化されることが多い。
9,1または4,「医師事務作業補助体制加算」の要件として、診療報酬の請求事務、看護業務の補助は、医師事務作業補助者の業務としないとされている。1)は診療報酬請求事務の一部である。4)患者の移送は看護業務の補助にあたる。したがって、1)、 4)の双方を正解とした。2)、 3)、 5)はいずれも医師事務作業補助者の業務である。[参考 :要件全体]医師事務作業補助者の業務は、医師(歯科医師を含む)の指示の下に、診断書などの文書作成補助、診療記録への代行入力、医療の質の向上に資する事務作業(診 療に関するデータ整理、院内がん登録などの統計・調査、医師などの教育や研修・カンファレンスのための準備作業など)ならびに行政上の業務(救急医療情報システムヘの入力、感染症サーベイランス事業に係る入力など)への対応に限定するものであること。なお、医師以外の職種の指示の下に行う業務、診療報酬の請求事務(DPCのコーディングに係る業務を含む)、 窓口・受付業務、医療機関の経営、運営のためのデータ収集業務、看護業務の補助ならびに物品運搬業務などについては医師事務作業補助者の業務としないこと。
10,2,診療情報管理部門は診療記録を適切に管理し活用を図ることにより、医療の評価と質の向上、診療記録の開示、病院経営管理、教育研究に寄与する。診療情報を元に1)がん登録を実施し、DPC対象病 院では3)DPCコーディング支援を行う。診療情報管理士が二次利用に耐えうる質と精度を確保するようチェックして4)データ抽出とその分析、それに基づく改善が行われる。5)クリニカルパス作成・改定の支援は医療の評価と質の向上に貢献する。
