2021II,問題文,選択肢,,,,
1,予防医学について正しい組み合わせはどれか。番号を解答記入欄( 1 )にマークしなさい。,健康増進 ― 二次予防,事故予防 ― 二次予防,疾病予防 ― 一次予防,早期発見 ― 一次予防 ,合併症対策 -― 一次予防
2,医の倫理について誤っている組み合わせはどれか。番号を解答記入欄( 2 )にマークしなさい。,リスボン宣言 ― 尊厳性の尊重,リスボン宣言 ― 自己決定権の尊重,ジュネーブ宣言 ― 医師の倫理規範,ヘルシンキ宣言 ― 被験者の権利の尊重,ストックホルム宣言 ― 患者の権利章典
3,ターミナルケアについて正しいのはどれか。番号を解答記入欄( 3 )にマークしなさい。,ケアチーム内で複数の意見が出た場合には、常に専門医の治療方針を優先する。,患者の意思確認はできないが、家族が患者の意思を推定できる場合は、その推定意思を尊重する。,患者と医療従事者とが十分な話し合いを行って意思決定した場合には、治療内容を家族に知らせなくてもよい。,インフォームドコンセントに基づいて患者が意思決定して文書にまとめられている治療方針は再確認の必要がない。,患者の意思確認はできず、家族が患者の意思を推定できない場合は、家族にとって最善の治療方針をとることを基本とする。
4,患者が主治医以外の専門の医師の意見を聞くことを何というか。番号を解答記入欄( 4 )にマークしなさい。,ケアミックス,アドヒアランス,セカンドオピニオン,インフォームドコンセント,インフォームドデシジョン
5,国民健康保険に加入している30歳本人の自己負担割合はどれか。番号を解答記入欄( 5 )にマークしなさい。,0割,1割,2割,3割,5割
6,医科の診療報酬改定は、通常何年毎に実施されるか。番号を解答記入欄( 6 )にマークしなさい。, 1年, 2年, 3年, 5年,10年
7,保険医療機関が患者自己負担外の診療報酬を請求する主たる相手方はどれか。番号を解答記入欄( 7 )にマークしなさい。,厚生労働省,健康保険組合,審査支払機関,保険加入者(被保険者),患者が居住する地方自治体
8,DPCコードを決定する傷病名はどれか。番号を解答記入欄( 8 )にマークしなさい。,入院時併存傷病名,入院後発症傷病名,入院の契機となった傷病名,医療資源をもっとも投入した傷病名,検査費がもっとも投入された傷病名
9,保険診療として認められているのはどれか。番号を解答記入欄( 9 )に2つマークしなさい。,禁煙外来,健康診断,自然分娩,帝王切開,予防接種
10,民間資格はどれか。番号を解答記入欄 (10)にマークしなさい。,保健師,管理栄養士,救急救命士,視能訓練士,臨床心理士
11,メタボリック・シンドロームの診断に用いられないのはどれか。番号を解答記入欄( 11 )に2つマークしなさい。,血圧,体重,血糖,尿酸,HDLコレステロール
12,病床機能報告制度における病床機能区分でないのはどれか。番号を解 答記入欄( 12 )にマークしなさい。,回復期,急性期,慢性期,療養期,高度急性期
13,在宅医療・介護連携推進事業 を進める機関の組み合わせとして正しいのはどれか。番号 を解答記入欄 ( 13 )にマークしなさい。,市町村が主体となり国保連等と連携,国保連が主体となり都道府県等と連携,都道府県が主体となり国保連等と連携,市町村が主体となり郡市医師会等と連携,厚生労働省が主体となり都道府県医師会等と連携
14,医療の質評価指標の分類について正しい組み合わせはどれか。番号を解答記入欄( 14 )に2つマークしなさい。,プロセス ー 手術後死亡率,アウトカム ー 病院標準化死亡比,アウトカム ー 早期リハビリテーション実施率,ストラクチャー ー SCUの有無,ストラクチャー ー 手術後合併症発症率
15,医療法および同施行規則において医療安全管理体制として義務づけられていないのはどれか。番号を解答記入欄( 15 )にマークしなさい。,患者相談窓口の設置,感染制御体制の整備,臨床倫理委員会の設置,医療安全に関する職員研修,医療事故等の院内報告体制
16,インシデントレポートについて誤っているのはどれか。番号を解答記入欄( 16 )に2つマークしなさい。,医療事故の報告書である。,ヒヤリハットも含まれる。,分析は原因の解明に役立つ。,当事者による自主的な報告である。,患者に不利益が生じなければ提出しなくてよい。
17,医薬品医療機器等法で高度管理医療機器に分類されるのはどれか。番号を解答記入欄( 17 )にマークしなさい。,人工呼吸器,超音波機器,X線撮影装置,手術用照明器,電子式血圧計
18,標準予防策 (スタンダードプリコーション)の具体策として適切でないのはどれか。番号を解答記入欄( 18 )にマークしなさい。,患者配置,手指衛生,トリアージ,個人防護具の使用,リネン類などの洗濯
19,入院診療計画書の交付・説明は入院後何日以内に行わなければならないか。番号を解答記入欄 ( 19 )に マークしなさい。, 3日, 5日, 7日,14日,30日
20,クリニカルバスにおいて、アウトカムが達成されない状態を表すのはどれか。番号を解答記入欄( 20 )にマークしなさい。,レジメン,エビデンス,バリアンス,ガイドライン,ベンチマーク
21,診療ガイドラインについて正しいのはどれか。番号を解答記入欄( 21 )にマークしなさい。,エビデンスが系統的に評価されている。,ガイドラインに従って診療する義務がある。,推奨に従わなければ保険診療の対象とならない。,国が審査を行った後に正式なガイドラインとする。,専門医に対するアンケート調査に基づいて作成される。
22,関連がない組み合わせはどれか。番号を解答記入欄 ( 22 )に マークしなさい。,痛風 ー 尿酸,狭心症 ー 動脈硬化,尿崩症 ー 膀胱,脳出血 ー 高血圧,起立性低血圧 ー 自律神経
23,膵臓で分泌されるホルモンはどれか。番号を解答記入欄( 23 )にマークしなさい。,グルカゴン,オキシトシン,カルシトニン,成長ホルモン,アルドステロン
24,次のうちアレルギー反応が原因の疾患はどれか。番号を解答記入欄( 24 )にマークしなさい。,日本脳炎,腹部大動脈瘤,再生不良性貧血,胆のうポリープ,アナフィラキシー
25,後発医薬品に関する記述で正しいのはどれか。番号を解答記入欄( 25 )にマークしなさい。,開発に10年以上かかる。,先発医薬品より薬価が高い。,成分の探索を行って開発を進める。,薬価の算出時に新規性の評価が行われる。,治療学的に先発医薬品と同等であるかの評価が行われる。
26,特定生物由来製品の使用記録の保管期間は何年か。番号を解答記入欄( 26 )にマークしなさい。, 5年,10年,15年,20年,30年
27,麻薬処方箋を発行することができる麻薬施用者免許を交付するのは誰か。番号を解答記入欄( 27 )にマークしなさい。,市町村長,法務大臣,厚生労働大臣,都道府県知事,内閣総理大臣
28,処方箋 (麻薬を含まない)への記載が必要な項目はどれか。 番号を解答記入欄( 28 )にマークしなさい。,病名,患者住所,使用期間,薬剤師名,臨床検査値
29,看護実践用語標準マスターが取り扱っているのはどれか。 番号を解答記入欄( 29 )に2つマークしなさい。,看護観察,看護管理,看護研究,看護行為,看護診断
30,誤っている組み合わせはどれか。番号を解答記入欄( 30 )にマークしなさい。,細胞診 ー 病理検査,血糖検査 ー 検体検査,炎症反応検査 ー 検体検査,血液ガス分析 ー 生理機能検査,12誘導心電図 ー 生理機能検査
31,肝機能に関する検査項目はどれか。番号を解答記入欄( 31 )にマークしなさい。,血糖,尿素窒素,AST(GOT),クレアチンキナーゼ(CK),グリコヘモグロビン(HbA1c)
32,腫瘍マーカーはどれか。番号を解答記入欄( 32 )にマークしなさい。,T3,GFR,PSA,C-反応性蛋白(CRP),グリコヘモグロビン(HbA1c)
33,細胞内液に含まれる電解質の中で最も多いのはどれか。番号を解答記入欄( 33 )にマークしなさい。,K+,CI-,Na+,Ca2+,Mg2+
34,生理機能検査はどれか。番号を解答記入欄( 34 )にマークしなさい。,髄液検査,骨密度検査,心臓エコー検査,腫瘍マーカー検査,骨シンチグラフィ検査
35,眼科検査のうち、明室(明るい部屋)で行う検査はどれか。番号を解答記入欄( 35 )に2つマークしなさい。,眼底検査,色覚検査,視野検査,視力検査,細隙灯検査
36,体内から放出される放射線を検出し画像化する検査はどれか。番号を解答記入欄( 36 )にマークしなさい。,CT,MRI,PET,骨密度検査,血管造影検査
37,診断に内視鏡検査の必要性が低いのはどれか。番号を解答記入欄( 37 )にマークしなさい。,胃がん,肝臓がん,大腸がん,胆管がん,膀胱がん
38,姑息的治療と対極にある治療はどれか。番号を解答記入欄( 38 )にマークしなさい。,観血的治療,外科的治療,根治的治療,侵襲的治療,非観血的治療
39,患者による確認が必要なのはどれか。番号を解答記入欄( 39 )に2つマークしなさい。,看護サマリ,退院サマリ,手術説明同意書,診療情報提供書,入院診療計画書
40,医療法に基づく診療に関する諸記録の法定保存期間はどれか。番号を解答記入欄( 40 )にマークしなさい。, 2年, 3年, 5年,10年,20年
41,下表の検査における感度と特異度の組み合わせで正しいのはどれか。番号を解答記入欄( 41 )にマークしなさい(ただし小数点以下は四捨五入とする)。,感度67%、特異度60%,感度60%、 特異度67%,感度65%、 特異度35%,感度38%、 特異度17%,感度38%、 特異度60%
42,システマティック・レビューの説明として誤っているのはどれか。番号を解答記入欄( 42 )にマークしなさい。,診療ガイドラインにしばしば反映される。,公開されている文献を対象にして行われる。,得られた結果のエビデンスレベルはもっとも高い。,出版バイアスを排除するためになるべく広く文献を調査する。,ランダム化比較試験 (RCT)の研究のみを対象として分析を行う。
43,臨床試験の過程において、少人数の患者を対象として行うのはどれか。番号を解答記入欄( 43 )に2つマークしなさい。,検証試験,臨床薬理試験,探索試験 (前期),探索試験 (後期),製造販売後臨床試験
44,箱ひげ図では表現できない統計量はどれか。番号を解答記入欄( 44 )にマークしなさい。,最小値,中央値,標準偏差,四分位範囲,第3四分位数
45,データのばらつきを示す指標はどれか。番号を解答記入欄( 45 )に2つマークしなさい。,最頻値,中央値,平均値,標準偏差,四分位範囲
46,母集団の分布を仮定せずに行える検定はどれか。番号を解答記入欄( 46 )に2つマークしなさい。,F検定,符号検定,分散分析,カイ二乗検定,Wilcoxonの順位和検定
47,仮説検定について誤っているのはどれか。番号を解答記入欄( 47 )にマークしなさい。,有意水準を設定する。,対立仮説と帰無仮説を立てる。,検定のために使う統計量を決める。,観測したデータから検定統計量の値を計算する。,検定統計量の値が棄却域に含まれれば対立仮説を棄却する。
48,DPC対象病院にのみ提出が求められているのはどれか。 番号を解答記入欄( 48 )にマークしなさい。,様式1,Dファイル,Hファイル,外来EF統合ファイル,入院EF統合ファイル
49,NDBに格納されているデータは どれか。番号を解答記入欄 ( 49 )に 2つマークしなさい。,特定健診デー タ,DPC調査データ,全国がん登録データ,医療保険レセプトデータ,介護保険レセプトデータ
50,全国がん登録において、医療機関が患者のがんに関する情報を届け出る先はどこか。番号を解答記入欄 ( 50 )に マークしなさい。,厚生労働省,日本医師会,日本医学会連合,国立がん研究センター,都道府県に設置されたがん登録室
