2021IS,問題文,,,,,
1,電子的に作成された文書を印刷して原本とすることができる条件はどれか。番号を解答記入欄( 1 )にマークしなさい。,そのまま印刷する。,印刷して押印する。,印刷して電子的文書を削除する。,印刷して日付とサインを記載する。,印刷して電子的文書に印刷記録を追加する。
2,診療情報の一次利用にあたるのはどれか。番号を解答記入欄( 2 )に2つマークしなさい。,裁判所の命令による情報提供,経営のための統計資料の作成,法令で定められた感染症の保健所への報告,検査部門で発生した検査データの診断への活用,審査支払機関への診療報酬明細書による医療費請求
3,医療情報倫理について誤っているのはどれか。番号を解答記入欄( 3 )にマークしなさい。,臨床実習を行う学生にも適用される。,人そのものに対する倫理規範と同質である。,医療倫理に情報倫理を付加したものである。,電子カルテにより行いうる意思決定に関連する。,患者個人を記述する情報の集合に対する規範である。
4,医療情報システム利用者の責務の説明で誤っているのはどれか。番号を解答記入欄( 4 )にマークしなさい。,必ず自身のIDでログインする。,作業を終了する場合や離席する場合は必ずログアウトする。,自身でパスワードを管理し、他者に利用されないようにする。,電子保存システムに入力した際は確定操作を行い、責任を明示する。,利用者が個人的に使用しているソフトウェアを端末にインストールする。
5,医療情報担当者倫理綱領 (Code of Ethics for Health lnformatics Professionals)について誤っているのはどれか。番号を解答記入欄( 5 )にマークしなさい。,医療情報担当者は医療従事者にかかわる責務を負う。,医療情報担当者は施設及び雇用者に対する責務を負う。,目的の一つは倫理的見識を一般人に明示することである。,目的の一つは施設を評価る際の基準として用いることである。,医療情報担当者は患者などの記録の対象者に対する責務を負う。
6,オンライン診療の適切な実施に関する指針 (令和元年7月一部改訂)に関して誤っているのはどれか。番号を解答記入欄( 6 )にマークしなさい。,医師の研修が義務化された。,オンライン受診勧奨はオンライン診療には含まれない。,急変に対応できる医療機関に当該患者の医療情報が事前に伝達される体制を用意する。,視覚及び聴覚を用いる情報通信機器のシステムを使用する汎用サービスの利用は禁止されている。,オンライン診療前に作成する診療計画に、 自らが対応できない疾患等の場合は対応できる医療機関を明示する。
7,診療所で利用される医療情報システムについて正しいのはどれか。番号を解答記入欄( 7 )にマークしなさい。,クラウド型のシステムを利用できる。,電子カルテシステムとしてORCAが普及している。,レセプト電算処理に対応したシステムは不要である。,自作したシステムを利用することは認められていない。,多くの診療所で大規模病院と同じシステムが導入されている。
8,「電子処方箋の連用ガイドライン第2版」に照らして誤っているのはどれか。番号を解答記入欄( 8 )にマークしなさい。,患者は薬局にアクセスコードと確認番号を持参する。,医療機関は患者にアクセスコードと確認番号を伝える。,医療機関は薬局に電子処方箋を電子メールで送信する。,医療機関は電子処方箋に電子署名とタイムスタンプ付与を行う。,薬局の薬剤師は調剤結果を作成し、電子署名とタイムスタンプ付与を行う。
9,事業者の介護支援システムの機能でないのはどれか。番号を解答記入欄( 9 )マークしなさい。,要介護度の判定,小口現金の管理,業務日誌等の記録,バイタルサインの記録,ショートステイ利用者の入退所予定管理
10,健康診断に用いられるシステムの特徴はどれか。番号を解答記入欄( 10 )にマークしなさい。,PACSと連動する。,診断結果のレベル分けを行う。,複数の検査を一括して予約する。,過去の検査結果を合わせて表示する。,各種オーダを発行する前にIDを決定する。
