2021JS,問題文,選択肢,,,,
1,データ量が最も小さいのはどれか。番号を解 答記入欄( 1 )にマークしなさい。,4GByte,4TByte,0.4EByte,0.8PByte,800MByte
2,16進数「F8」を10進数で表したのはどれか。番号を解答記入欄( 2 )にマークしなさい。,120,128,150,248,254
3,2進 数の「10010」 と「1010」の和を16進数で表したのはどれか。番号を解答記入欄( 3 )に マークしなさい。,1A,B1,1C,1F,AB
4,ベン図の網掛け部分が得られる演算はどれか。番号を解答記入欄(4)にマークしなさい。,A OR B,A AND B,NOT(A OR B),NOT (A AND B),(NOT A)AND B
5,"""画素数が1,600×1,200で、24ビットカラー、非圧縮形式の画像8枚を保存できる最小の容量はどれか。番号を解答記入欄( 5 )にマークしなさい。""",50MByte,5MByte,0.5MByte,0.5GByte,500KByte
6,VDIが指すのはどれか。番号を解答記入欄 ( 6 )に マークしなさい。,仮想メモリ,仮想現実感,サーバ仮想化,デスクトップ仮想化,アプリケーション仮想化
7,LTOについて正しいのはどれか。番号を解答記入欄 ( 7 )にマークしなさい。,磁気で記録する。,赤外線で記録する。,レーザ光で記録する。,ICチップに記録される。,フラッシュメモリである。
8,Full-HDディスプレイの解像度はどれか。番号を解答記入欄( 8 )にマークしなさい。,"""1,280×1,024""","""1,920×1,080""","""1,920×1,200""","""4,096×2,160""","""7,680×4,320"""
9,「ABCDEFGHI」というデータを図に示すように6台のハードディスクに記録する方式はどれか。番号を解答記入欄( 9 )にマークしなさい。,RAID0,RAID1,RAID5,RAID6,RAID10
10,CPUの基本動作を表す図の①～④に入る正しい組み合わせはどれか。番号を解答記入欄( 10 )にマークしなさい。,①解読-②実行-③読込-④出力,①解読-②読込-③出カ-④実行,①読込-②解読-③実行-④出力,①読込-②解読-③出カ-④実行,①実行-②読込-③解読-④出力
11,LANポートのコネクタはどれか。番号を解答記入欄( 11 )にマークしなさい。,1),2),3),4),5)
12,スマートデバイスの集中管理や機能制限を行うシステムはどれか。番号を解答記入欄( 12 )にマークしなさい。,DRM,MDM,BYOD,MIMO,MVNO
13,オペレーティングシステムはどれか。番号を解答記入欄 ( 13 )に マークしなさい。,FHIR,Java,Ruby,Apache,Android
14,プログラムで扱う変数の型のうち、論理型に必要な情報量はどれか。番号を解答記入欄( 14 )にマークしなさい。, 1bit, 2bit, 4bit, 8bit,16bit
15,図に示すデータ構造はどれか。番号を解答記入欄( 15 )にマークしなさい。,キュー,ツリー,リスト,スタック,ネットワーク
16,アナログ信号をデジタル信号へ変換する処理順序はどれか。番号を解答記入欄( 16 )にマークしなさい。,標本化 → 量子化 → 符号化,符号化 → 量子化 → 標本化,量子化 → 標本化 → 符号化,量子化 → 符号化 → 標本化,符号化 → 標本化 → 量子化
17,1から20の整数の和を求めるフローチャートの(①)に入るのはどれか。番号を解答記入欄( 17 )にマークしなさい。,i ← i + 1,i ← i + x,i ← i - 1,x ← x + 1,x ← x / i
18,"""次のSQL文を実行したとき、得られるデータの行数はどれか。番号を解答記入欄( 18 )にマークしなさい。SELECT 患者番号 , 氏名 FROM 検査結果　SELECT 患者番号 , 氏名 FROM 検査結果　WHERE 検査1 > 8.0 AND 検査2 > 70 GROUP BY 患者番号 , 氏名 ; """,0,1,2,3,4
19,"""問18の表''検査結果''に対して次のSQL文を実行したとき、3行目に表示される検査1、検査2の値がともに正しいのはどれか。番号を解答記入欄( 19 )にマークしなさい。SELECT FROM 検査結果 WHERE 検査2 > 50 ORDER BY 検査2 : ""","""検査1 : 5.8, 検査2 : 31""","""検査1 : 7.0, 検査2 : 18""","""検査1 : 6.5, 検査2 : 71""","""検査1 : 6.5, 検査2 : 99""","""検査1 : 10.6, 検査2 : 71"""
20,トランザクション処理が「すべて実行される」か「1つも実行されない」のどちらかの状態を表す特性はどれか。番号を解答記入欄( 20 )にマークしなさい。,一貫性,機密性,原子性,持続性,独立性
21,関係データベースで、表から特定の列を取り出す操作はどれか。番号を解答記入欄( 21 )にマークしなさい。,差,結合,射影,選択,直積
22,データベース処理において、図のように2つのトランザクション更新要求の処理が進まなくなる状態はどれか。番号を解答記入欄( 22 )にマークしなさい。,アボート,コミット,デッドロック,ロールバック,ロールフォワード
23,IPv6の説明として適切なのはどれか。番号を解答記入欄( 23 )にマークしなさい。,無線LANでは使えない。,IPv4とは直接通信できない。,アドレス長は32ビットである。,暗号化はサポートされていない。,IPパケットのヘッダは可変長である。
24,192.168.32.0/22のネットワークが持つホスト部のアドレス数はどれか。番号を解答記入欄( 24 )にマークしなさい。,128,256,512,"""1,024""","""2,048"""
25,プライベートIPアドレスの複数の端末が、一つのグローバルIPアドレスを用いたインターネット接続を可能にする仕組みはどれか。番号を解答記入欄( 25 )にマークしなさい。,CIDR,ICMP,NAPT,SNMP,RADIUS
26,LAN内でループ構成を回避するためのデータリンク層の通信プロトコルを表すのはどれか。番号を解答記入欄( 26 )にマークしなさい。,トークンリング,フレームリレー,スパニングツリー,マルチホーミング,リンクアグリゲーション
27,IPアドレスなどのネットワーク情報を提供するプロトコルはどれか。番号を解答記入欄 ( 27 )に マークしなさい。,FTP,DHCP,HTTP,POP3,SMTP
28,送信相手までの経路が不明な場合のデータ送信先として設定されるのはどれか。番号を解答記入欄( 28 )にマークしなさい。,DNSサ ーバ,LDAPサ ーバ,WINSサーバ,デフォルトゲートウェイ,リンクローカルアドレス
29,インターネット上に構築された、あたかも専用線のように使うことができる仮想的なネットワークはどれか。番号を解答記入欄( 29 )にマークしなさい。,VDT,VOD,VPN,VLAN,VoIP
30,理論上の伝送速度が最大の無線 LANの規格はどれか。番号を解答記入欄( 30 )にマークしなさい。,IEEE802.11a,IEEE802.11b,IEEE802.11ac,IEEE802.11n,IEEE802.11g
31,1Gbyteのファイルを1Gbpsの回線でダウンロードするのに要する時間はどれか。ただし、伝送効率を50%とする。番号を解答記入欄( 31 )にマークしなさい。, 1秒, 4秒, 8秒,16秒,32秒
32,図に示すネットワーク接続形態はどれか。番号を解答記入欄( 32 )にマークしなさい。,バス型ネットワーク,スター型ネットワーク,リング型ネットワーク,メッシュ型ネットワーク,パーシャルメッシュ型ネットワーク
33,膵Webサ ーバとWebブラウザとの間でユーザのログイン状態などを管理する情報を保持する仕組みはどれか。番号を解答記入欄 ( 33 )にマークしなさい。,CGI,CSS,URL,HTML,Cookie
34,ゼロデイアタックについて正しいのはどれか。番号を解答記入欄( 34 )にマークしなさい。,大量の迷惑メールの送信を行う。,多数の端末から同時に大量のデータを送信する。,実在する企業や個人を装った電子メールを送信する。,大量のデータを間断なく送り続けサーバを過負荷状態に追い込む。,セキュリティパッチが公開される前のセキュリティホールを利用する。
35,本人を詐称した電話によるパスワードの不正入手などの行為を指すのはどれか。番号を解答記入欄 ( 35 )にマークしなさい。,DoS攻撃,フィッシング,ポートスキャン,ソーシャルエンジニアリング,クロスサイトスクリプティング
36,ハードディスクを廃棄する際に破壊を求める情報セキュリティ対策はどれか。番号を解答記入欄( 36 )にマークしなさい。,人的対策,環境的対策,技術的対策,組織的対策,物理的対策
37,通信を監視して、不正アクセスを検知、遮断するシステムはどれか。番号を解答記入欄( 37 )にマークしなさい。,DMA,DMZ,IDS,IPS,WPA
38,本人確認のための認証技術でないのはどれか。番号を解答記入欄( 38 )にマークしなさい。,生体認証,電子署名,多要素認証,IDとパスワード,ワンタイムパスワード
